Lemma,Word_Type,Category,Primary_subcategory,Secondary_subcategory,Sg_all_split,Pl_all_split,Alt_split,False_Positives
loner,s,unconscious_bias,behavior,behavior,"['someone who enjoys their own company(...)', 'person retreating from sensory overload(...)', 'someone who maximizes time spent on their own(...)', 'person who likes to spend time by themselves(...)', 'person in need of personal time to refocus(...)', 'someone in need of minimizing sensory overload(...)']","['people who enjoy their own company(...)', 'individuals retreating from sensory overload(...)', 'people who maximize time spent on their own(...)', 'people who like to spend time by themselves(...)', 'individuals in need of personal time to refocus(...)', 'people in need of minimizing sensory overload(...)']","['someone who enjoys their own company(...)', 'person retreating from sensory overload(...)', 'someone who maximizes time spent on their own(...)', 'person who likes to spend time by themselves(...)', 'person in need of personal time to refocus(...)', 'someone in need of minimizing sensory overload(...)']",
maniac,s,unconscious_bias,behavior,behavior,"['someone with a mental disability(...)', 'person who behaves in an uncontrolled way(...)', ""person who doesn't worry about risks(...)"", 'person who behaves violently(...)']","['people with a mental disability(...)', 'people who behave in an uncontrolled way(...)', ""people who don't worry about risks(...)"", 'people who behave violently(...)']","['someone with a mental disability(...)', 'person who behaves in an uncontrolled way(...)', ""person who doesn't worry about risks(...)"", 'person who behaves violently(...)']",
neurodiversity,s,unconscious_bias,behavior,behavior,"['neurodivergence --- (divergence from neurotypical brains)', '--- only when referring to the natural diversity of all human brains']",['--- only when referring to the natural diversity of all human brains'],"['--- only when referring to the natural diversity of all human brains', 'neurodivergence --- (divergence from neurotypical brains)']",
nutter,s,unconscious_bias,behavior,behavior,"['thrill-seeker', 'thrill-seekers', 'someone who is unpredictable(...)', 'person with reckless behavior(...)', 'someone with poor impulse control(...)']","['thrill-seekers', 'people who are unpredictable(...)', 'people with poor impulse control(...)', 'fearless (out of control) people (...)']","['thrill-seeker', 'someone who is unpredictable(...)', 'person with reckless behavior(...)', 'someone with poor impulse control(...)', 'thrill-seekers']",
scatterbrain,s,unconscious_bias,behavior,behavior,"['person with mental disability(...)', 'person with psychiatric disabilities(...)', 'person with intellectual disability(...)', 'person with a learning disability(...)', 'someone forgetful(...)', 'a disorganized person(...)', 'someone easily distracted(...)', 'person unable to focus(...)']","['forgetful people(...)', 'disorganized people(...)', 'people unable to concentrate(...)', 'people unable to think clearly(...)']","['person with mental disability(...)', 'person with psychiatric disabilities(...)', 'person with intellectual disability(...)', 'person with a learning disability(...)', 'someone forgetful(...)', 'a disorganized person(...)', 'someone easily distracted(...)', 'person unable to focus(...)']",
islamist,s,unconscious_bias,belief,belief,"['muslim', 'person of Islamic faith', 'follower of the Islamic faith', 'fanatic follower of Islam', 'muslims', 'people of Islamic faith', 'followers of the Islamic faith', 'fanatic followers of Islam']","['muslims', 'people of Islamic faith', 'followers of the Islamic faith', 'fanatic followers of Islam']","['muslim', 'person of Islamic faith', 'follower of the Islamic faith', 'fanatic follower of Islam', 'muslims', 'people of Islamic faith', 'followers of the Islamic faith', 'fanatic followers of Islam']",
ex-offender,s,unconscious_bias,classism,classism,"['formerly incarcerated person', 'returning citizen', 'parolee', 'formerly incarcerated people', 'returning citizens', 'parolees']","['formerly incarcerated people', 'returning citizens', 'parolees']","['formerly incarcerated person', 'returning citizen', 'parolee', 'formerly incarcerated people', 'returning citizens', 'parolees']",
autism,s,unconscious_bias,cognitive_ability,cognitive_ability,"['neurodivergence', 'autism spectrum disorder', '--- ask which term the person prefers']",['--- ask which term the person prefers'],"['--- ask which term the person prefers', 'neurodivergence', 'autism spectrum disorder']",autism spectrum disorder | has autism
derp,s,unconscious_bias,cognitive_ability,cognitive_ability,"['obviously(...)', 'of course(...)', 'yeah(...)']","['obviously(...)', 'of course(...)', 'yeah(...)']","['obviously(...)', 'of course(...)', 'yeah(...)']",
idiot,s,unconscious_bias,cognitive_ability,cognitive_ability,"['person with mental impairment(...)', 'person with psychiatric disabilities(...)', 'ignorant person(...)', 'someone lacking understanding(...)', 'oblivious person(...)', 'uninformed person(...)', 'silly person(...)']","['people with mental impairment(...)', 'people with psychiatric disabilities(...)', 'dense(...)', 'ignorant(...)', 'lacking understanding(...)', 'reckless(...)', 'silly(...)']","['person with mental impairment(...)', 'person with psychiatric disabilities(...)', 'ignorant person(...)', 'someone lacking understanding(...)', 'oblivious person(...)', 'uninformed person(...)', 'silly person(...)']",
