Lemma,Word_Type,Category,Primary_subcategory,Sg_all_split,Pl_all_split,Alt_split
extra-ordinary,a,style,exaggerating,"['remarkable', 'inspiring', 'baffling', 'unusual', 'exemplary', '-']",['-'],"['-', 'remarkable', 'inspiring', 'baffling', 'unusual', 'exemplary']"
extreme,a,style,exaggerating,"['scute', 'major', 'substantial', 'severe', 'over-the-top', '-']",['-'],"['-', 'scute', 'major', 'substantial', 'severe', 'over-the-top']"
fantastic,a,style,exaggerating,"['remarkable', 'inspiring', 'amazing', 'riveting', 'stimulating', '-']",['-'],"['-', 'remarkable', 'inspiring', 'amazing', 'riveting', 'stimulating']"
fighter by nature,s||~,style,exaggerating,"['supporter', 'advocate', 'resilient person', 'supporters', 'advocates', 'resilient people', 'person committed to shared goals(...)']","['supporters', 'advocates', 'resilient people', 'people committed to shared goals(...)']","['supporter', 'advocate', 'resilient person', 'person committed to shared goals(...)', 'supporters', 'advocates', 'resilient people']"
first-class,a,style,exaggerating,"['premium', 'quality-focused', 'luxurious', 'stylish', 'business --- in transportation', '--- use only in programming']",['--- use only in programming'],"['--- use only in programming', 'premium', 'quality-focused', 'luxurious', 'stylish', 'business --- in transportation']"
imperative,a,style,exaggerating,"['critical', 'vital', 'essential']",[],"['critical', 'vital', 'essential']"
impressive,a,style,exaggerating,['-'],['-'],['-']
irresistible,a,style,exaggerating,['-'],['-'],['-']
like crazy,|a,style,exaggerating,"['fast and with great enthusiasm', 'a lot', ""like nobody's business"", 'without restraint', 'with speed and energy']",[],"['fast and with great enthusiasm', 'a lot', ""like nobody's business"", 'without restraint', 'with speed and energy']"
mandatory,a,style,exaggerating,"['necessary', 'legally required', 'compulsory', 'nonelective', 'required']",[],"['necessary', 'legally required', 'compulsory', 'nonelective', 'required']"
market leadership,~s|s,style,exaggerating,"['market share gain', 'having the largest market share in the industry', 'ability to influence the market', 'largest profitability margin in the market', '--- be specific to build trust', 'market share gains', 'having the largest market shares in the industry', 'abilities to influence the markets', 'largest profitability margin in the market']","['market share gains', 'having the largest market shares in the industry', 'abilities to influence the markets', 'largest profitability margin in the market', '--- be specific to build trust']","['--- be specific to build trust', 'market share gain', 'having the largest market share in the industry', 'ability to influence the market', 'largest profitability margin in the market', 'market share gains', 'having the largest market shares in the industry', 'abilities to influence the markets', 'largest profitability margin in the market']"
market-leading,a,style,exaggerating,['market-influencing'],[],['market-influencing']
number 1,s|,style,exaggerating,"['critical', 'vital', 'key', 'crucial', 'paramount']",[],"['critical', 'vital', 'key', 'crucial', 'paramount']"
number one,s|,style,exaggerating,"['critical', 'vital', 'key', 'crucial', 'paramount']",[],"['critical', 'vital', 'key', 'crucial', 'paramount']"
opinion leader,~s|s,style,exaggerating,"['influencer', 'opinion shaper', 'influencers', 'opinion shapers']","['influencers', 'opinion shapers']","['influencer', 'opinion shaper', 'influencers', 'opinion shapers']"
outstanding,a,style,exaggerating,"['inspiring', 'well-deserved', 'skillful', 'awesome', 'marvelous']",[],"['inspiring', 'well-deserved', 'skillful', 'awesome', 'marvelous']"
perfect,a,style,exaggerating,['-'],['-'],['-']
pioneering company,~s|s,style,exaggerating,"['company paving the way for new technologies', 'companies paving the way for new technologies']",['companies paving the way for new technologies'],"['company paving the way for new technologies', 'companies paving the way for new technologies']"
profound,a,style,exaggerating,"['intense', 'deep', 'thorough', 'acute', 'thoughtful', 'serious', 'experienced', 'requiring deep understanding']",[],"['intense', 'deep', 'thorough', 'acute', 'thoughtful', 'serious', 'experienced', 'requiring deep understanding']"
proven track record,~a|~s|s,style,exaggerating,"['documented outcomes', 'portfolio of case studies', 'reference cases', 'documented outcomes', 'portfolio of case studies', 'reference cases']","['documented outcomes', 'portfolio of case studies', 'reference cases']","['documented outcomes', 'portfolio of case studies', 'reference cases', 'documented outcomes', 'portfolio of case studies', 'reference cases']"
reach for the star,v|||s,style,exaggerating,"['have aspirations', 'set motivating goals', 'set inspiring milestones']",[],"['have aspirations', 'set motivating goals', 'set inspiring milestones']"
reach to the star,v|||s,style,exaggerating,"['have aspirations', 'set motivating goals', 'set inspiring milestones']",[],"['have aspirations', 'set motivating goals', 'set inspiring milestones']"
risk carrier,~s|s,style,exaggerating,['-'],['-'],['-']
success rate,~s|s,style,exaggerating,"['goal achievement', 'pass rate', 'academic performance', 'rate of goal achievement', 'completion rate', '-']",['-'],"['-', 'goal achievement', 'pass rate', 'academic performance', 'rate of goal achievement', 'completion rate']"
success story,~s|s,style,exaggerating,"['reference', 'person of the hour', 'case study', 'business case', 'case story', '-', 'references', 'people of the hour', 'case studies', 'business cases', 'case stories']","['references', 'people of the hour', 'case studies', 'business cases', 'case stories', '-']","['-', 'reference', 'person of the hour', 'case study', 'business case', 'case story', 'references', 'people of the hour', 'case studies', 'business cases', 'case stories']"
successful,a,style,exaggerating,"['productive', 'lucky', 'lucrative', 'practiced', 'skilled', '-']",['-'],"['-', 'productive', 'lucky', 'lucrative', 'practiced', 'skilled']"
successfully,a,style,exaggerating,"['with good results', 'favorably', '-']",['-'],"['-', 'with good results', 'favorably']"
super,adv,style,exaggerating,['-'],['-'],['-']
surpass,v,style,exaggerating,"['refine', 'improve upon', 'transcend', 'do better than', 'go beyond']",[],"['refine', 'improve upon', 'transcend', 'do better than', 'go beyond']"
top performance,~a|s,style,exaggerating,"['substantial contribution to business success', 'amazing display of capability', 'history of delivering results(...)']",[],"['substantial contribution to business success', 'amazing display of capability', 'history of delivering results(...)']"
top performer,~a|s,style,exaggerating,"['mentor at heart(...)', 'inspiration to the team(...)', 'entrepreneur at heart(...)', 'someone with an entrepreneurial mindset(...)', 'someone who thrives on working toward milestones(...)']","['mentors at heart(...)', 'people who are an inspiration to the team(...)', 'entrepreneurs at heart(...)', 'people with an entrepreneurial mindset(...)', 'people who thrive on working toward milestones(...)']","['mentor at heart(...)', 'inspiration to the team(...)', 'entrepreneur at heart(...)', 'someone with an entrepreneurial mindset(...)', 'someone who thrives on working toward milestones(...)']"
top-performer,a,style,exaggerating,"['for the mentor at heart(...)', 'for every inspiration to the team(...)', 'resonating with the entrepreneur at heart(...)', 'appealing to an entrepreneurial mindset(...)', 'motivating for someone who thrives on working toward milestones(...)']","['for mentors at heart(...)', 'for people who are an inspiration to the team(...)', 'appealing to entrepreneurs at heart(...)', 'resonating with entrepreneurial mindsets(...)', 'motivating people who thrive on working toward milestones(...)']","['for the mentor at heart(...)', 'for every inspiration to the team(...)', 'resonating with the entrepreneur at heart(...)', 'appealing to an entrepreneurial mindset(...)', 'motivating for someone who thrives on working toward milestones(...)']"
top-performing,a,style,exaggerating,"['contributing to business success --- about a person', 'implementing goals with enthusiasm --- about a person', 'fulfilling customer expectations --- about a person']",[],"['contributing to business success --- about a person', 'implementing goals with enthusiasm --- about a person', 'fulfilling customer expectations --- about a person']"
verifiable,a,style,exaggerating,"['documented', 'valid', 'reliable']",[],"['documented', 'valid', 'reliable']"
verifiably,adv,style,exaggerating,['-'],['-'],['-']
well-established,~a,style,exaggerating,"['thriving', 'acknowledged', 'confirmed', 'long-standing', 'well-documented']",[],"['thriving', 'acknowledged', 'confirmed', 'long-standing', 'well-documented']"
winner type,~s|s,style,exaggerating,"['-', 'competitive person(...)', 'person motivated by competition(...)', 'person who enjoys competing(...)']","['-', 'competitive personalities(...)', 'people motivated by competition(...)', 'people who enjoy competing(...)']","['-', 'competitive person(...)', 'person motivated by competition(...)', 'person who enjoys competing(...)']"
winning type,~s|s,style,exaggerating,"['-', 'competitive person(...)', 'person motivated by competition(...)', 'person who enjoys competing(...)']","['-', 'competitive personalities(...)', 'people motivated by competition(...)', 'people who enjoy competing(...)']","['-', 'competitive person(...)', 'person motivated by competition(...)', 'person who enjoys competing(...)']"
without any problem,||s,style,exaggerating,"['easily', 'smoothly', 'swimmingly', 'without a hitch', 'without friction', '-']",['-'],"['-', 'easily', 'smoothly', 'swimmingly', 'without a hitch', 'without friction']"
without problem,|s,style,exaggerating,"['easily', 'smoothly', 'swimmingly', 'without a hitch', 'without friction', '-']",['-'],"['-', 'easily', 'smoothly', 'swimmingly', 'without a hitch', 'without friction']"
world leader,~s|s,style,exaggerating,"['--- be specific to build trust', 'company with largest revenue share in the market(...)', 'with largest customer base in the segment(...)', 'brand to introduce the majority of technological advances in the market(...)']","['--- be specific to build trust', 'companies with largest revenue share in the market(...)', 'with largest customer base in the segment(...)', 'brand to introduce the majority of technological advances in the market(...)']","['--- be specific to build trust', 'company with largest revenue share in the market(...)', 'with largest customer base in the segment(...)', 'brand to introduce the majority of technological advances in the market(...)']"
a bit,|,style,advanced_filler,['-'],['-'],['-']
a little,|,style,advanced_filler,['-'],['-'],['-']
a lot,|,style,advanced_filler,['-'],['-'],['-']
absolutely,adv,style,advanced_filler,['-'],['-'],['-']
actually,adv,style,advanced_filler,['-'],['-'],['-']
almost,adv,style,advanced_filler,['-'],['-'],['-']
amongst others,|~s,style,advanced_filler,['-'],['-'],['-']
and then,conj|,style,advanced_filler,['-'],['-'],['-']
basically,adv,style,advanced_filler,['-'],['-'],['-']
believe me,v|~s,style,advanced_filler,['-'],['-'],['-']
by no means,||~,style,advanced_filler,['-'],['-'],['-']
by the way,||~s,style,advanced_filler,['-'],['-'],['-']
can be used to,~v|~v|~v|,style,advanced_filler,['can'],[],['can']
clearly,adv,style,advanced_filler,['-'],['-'],['-']
click to,v|,style,advanced_filler,['-'],['-'],['-']
completely,adv,style,advanced_filler,['-'],['-'],['-']
etc,~,style,advanced_filler,['-'],['-'],['-']
etc.,|,style,advanced_filler,['-'],['-'],['-']
even,adv,style,advanced_filler,['-'],['-'],['-']
exactly,adv,style,advanced_filler,['-'],['-'],['-']
fairly,adv,style,advanced_filler,['-'],['-'],['-']
for what it’s worth,|s|s|~v|a,style,advanced_filler,['-'],['-'],['-']
generally,adv,style,advanced_filler,['-'],['-'],['-']
highly,adv,style,advanced_filler,['-'],['-'],['-']
hopefully,adv,style,advanced_filler,['-'],['-'],['-']
I guess,~s|~v,style,advanced_filler,['-'],['-'],['-']
I mean,s|v,style,advanced_filler,['-'],['-'],['-']
I suppose,~s|~v,style,advanced_filler,['-'],['-'],['-']
I think,s|v,style,advanced_filler,['-'],['-'],['-']
in my humble opinion,||~a|~s,style,advanced_filler,['-'],['-'],['-']
it seems,~s|~v,style,advanced_filler,"[""I've heard"", '-']",['-'],"['-', ""I've heard""]"
just,adv,style,advanced_filler,['-'],['-'],['-']
kind of,|,style,advanced_filler,['-'],['-'],['-']
like I said,|s|~v,style,advanced_filler,['-'],['-'],['-']
literally,adv,style,advanced_filler,['-'],['-'],['-']
maybe,adv,style,advanced_filler,['-'],['-'],['-']
needless to say,||~v,style,advanced_filler,['-'],['-'],['-']
now,adv,style,advanced_filler,['-'],['-'],['-']
okay,adv,style,advanced_filler,['-'],['-'],['-']
"okay, so",||,style,advanced_filler,['-'],['-'],['-']
only,adv,style,advanced_filler,['-'],['-'],['-']
or something,|,style,advanced_filler,['-'],['-'],['-']
perhaps,adv,style,advanced_filler,['-'],['-'],['-']
pretty much,|,style,advanced_filler,['-'],['-'],['-']
quite,adv,style,advanced_filler,['-'],['-'],['-']
rather,a,style,advanced_filler,['-'],['-'],['-']
really,a,style,advanced_filler,"['in fact', 'admittedly', 'honestly', 'frankly', '-']",['-'],"['-', 'in fact', 'admittedly', 'honestly', 'frankly']"
reasonably,adv,style,advanced_filler,['-'],['-'],['-']
relatively,adv,style,advanced_filler,['-'],['-'],['-']
right,a,style,advanced_filler,['-'],['-'],['-']
seem,v,style,advanced_filler,['-'],['-'],['-']
seriously,adv,style,advanced_filler,['-'],['-'],['-']
simply,adv,style,advanced_filler,['-'],['-'],['-']
sincerely,~adv,style,advanced_filler,['-'],['-'],['-']
slightly,adv,style,advanced_filler,['-'],['-'],['-']
so,adv,style,advanced_filler,['-'],['-'],['-']
somehow,adv,style,advanced_filler,['-'],['-'],['-']
"Sorry, but",~s||,style,advanced_filler,['-'],['-'],['-']
sort of,|,style,advanced_filler,['-'],['-'],['-']
suddenly,adv,style,advanced_filler,['-'],['-'],['-']
though,adv,style,advanced_filler,['-'],['-'],['-']
totally,adv,style,advanced_filler,['-'],['-'],['-']
very,adv,style,advanced_filler,['-'],['-'],['-']
we should be able to,s|v|v|a|,style,advanced_filler,['we can'],[],['we can']
well,adv,style,advanced_filler,['-'],['-'],['-']
What we want is,|s|v|,style,advanced_filler,"['We want to', 'Our goal: to', ""Let's""]",[],"['We want to', 'Our goal: to', ""Let's""]"
