Lemma,Word_Type,Category,Primary_subcategory,Secondary_subcategory,Sg_all_split,Pl_all_split,Alt_split
housewife,s,gendered,female_stereotype,female_stereotype,"['homemaker', 'they', 'homemakers']",['homemakers'],"['homemaker', 'they', 'homemakers']"
housewifery,s,gendered,female_stereotype,female_stereotype,"['maintenance', 'cleanup', 'household management', 'domestic work', 'running of the home']",[],"['maintenance', 'cleanup', 'household management', 'domestic work', 'running of the home']"
hysteria,s,gendered,female_stereotype,female_stereotype,"['somatic symptom disorder', 'dissociative disorder', 'irrational behavior(...)', 'overwhelming fear(...)', 'expressing strong emotions(...)', 'anxiety(...)', 'post traumatic episode(...)']",[],"['somatic symptom disorder', 'dissociative disorder', 'irrational behavior(...)', 'overwhelming fear(...)', 'expressing strong emotions(...)', 'anxiety(...)', 'post traumatic episode(...)']"
hysterics,=s,gendered,female_stereotype,female_stereotype,"['frustrations', 'disappointment(...)', 'anger(...)', 'grief(...)', 'fear(...)']",[],"['frustrations', 'disappointment(...)', 'anger(...)', 'grief(...)', 'fear(...)']"
instructor,s,gendered,titles,generic_plural,"['teacher', 'coach', 'educator', 'college teacher', 'university teacher', 'they', 'instruction', 'teaching staff', 'instructors', 'teachers', 'coaches', 'educators', 'college teachers', 'university teachers', 'person who teaches (a skill)(...)', 'person who trains (...) to (...)', 'person whose job is to teach people (a skill)(...)']","['instructors', 'teachers', 'coaches', 'educators', 'college teachers', 'university teachers', 'teaching staff', 'instruction', 'people who teach (a skill)(...)', 'people who train (...) to (...)', 'people whose job is to teach people (a skill)(...)']","['instruction', 'teacher', 'coach', 'educator', 'college teacher', 'university teacher', 'they', 'person who teaches (a skill)(...)', 'person who trains (...) to (...)', 'person whose job is to teach people (a skill)(...)', 'teaching staff', 'instructors', 'teachers', 'coaches', 'educators', 'college teachers', 'university teachers']"
intern,s,gendered,function,generic_plural,"['they', 'internship', 'interns']","['interns', 'internship']","['internship', 'they', 'interns']"
landlady,s,gendered,function,function,"['owner', 'proprietor', 'lease holder', 'building manager', 'owners', 'property owners', 'proprietors', 'lease holders', 'person who rents out(...)']","['owners', 'property owners', 'proprietors', 'lease holders', 'people who rent out (...)']","['owner', 'proprietor', 'lease holder', 'building manager', 'person who rents out(...)', 'owners', 'property owners', 'proprietors', 'lease holders']"
landlord,s,gendered,function,generic_plural,"['owner', 'proprietor', 'lease holder', 'building manager', 'landlords', 'owners', 'proprietors', 'lease holders', 'person who rents out(...)']","['landlords', 'owners', 'proprietors', 'lease holders', 'people who rent out (...)']","['owner', 'proprietor', 'lease holder', 'building manager', 'person who rents out(...)', 'landlords', 'owners', 'proprietors', 'lease holders']"
layman,s,gendered,function,function,"['layperson', 'they', 'lay clergy', 'lay ministry', 'laypersons', 'laypeople']","['laypersons', 'laypeople', 'lay clergy', 'lay ministry']","['layperson', 'they', 'lay clergy', 'lay ministry', 'laypersons', 'laypeople']"
leader,s,gendered,leadership,generic_plural,"['servant leader', 'facilitator', 'mentor', 'upper management', 'leaders', 'people in decison-making roles', 'someone who communicates a shared vision(...)', 'person who offers guidance(...)', 'person who communicates expectations(...)', 'someone person who shapes the company strategy(...)', 'person who takes a coaching role to help a teamwork toward shared goals(...)', 'someone who helps identify milestones(...)', 'someone who chooses a course of action with the team(...)', ""role that charts the company's course(...)""]","['leaders', 'people in decison-making roles', 'upper management', 'people who support and motivate the team(...)', 'people who communicate a shared vision(...)', 'people who help identify milestones(...)', 'people who offer guidance(...)', 'people who take a coaching role to help a teamwork toward shared goals(...)', 'people who communicate expectations(...)', 'people who shape the company strategy(...)', 'people who choose a course of action with the team(...)', ""roles that chart the company's course(...)""]","['upper management', 'servant leader', 'facilitator', 'mentor', 'someone who communicates a shared vision(...)', 'person who offers guidance(...)', 'person who communicates expectations(...)', 'someone person who shapes the company strategy(...)', 'person who takes a coaching role to help a teamwork toward shared goals(...)', 'someone who helps identify milestones(...)', 'someone who chooses a course of action with the team(...)', ""role that charts the company's course(...)"", 'leaders', 'people in decison-making roles']"
