Lemma,Word_Type,Category,Primary_subcategory,Secondary_subcategory,Sg_all_split,Pl_all_split,Alt_split,False_Positives
man of the moment,~s|||~s,gendered,male_stereotype,male_stereotype,"['the most influential person at the time', 'someone who plays a pivotal role at this point in time(...)', 'person of great importance(...)', 'most popular person at this particular moment in time(...)']",[],"['the most influential person at the time', 'someone who plays a pivotal role at this point in time(...)', 'person of great importance(...)', 'most popular person at this particular moment in time(...)']",
man of the world,~s|||~s,gendered,male_stereotype,male_stereotype,"['someone not easily shocked(...)', 'someone experienced and world-wise(...)', 'someone who can deal with most situations life throws at them(...)', 'someone widely experienced in the ways of the world and people(...)']",[],"['someone not easily shocked(...)', 'someone experienced and world-wise(...)', 'someone who can deal with most situations life throws at them(...)', 'someone widely experienced in the ways of the world and people(...)']",
man on the street,~s|||~s,gendered,male_stereotype,male_stereotype,"['people in the street', 'average person', 'general public']",[],"['people in the street', 'average person', 'general public']",
pick a fight,v||~s,gendered,male_stereotype,male_stereotype,"['differ', 'disagree', 'start a debate', 'discuss options', 'present arguments']",[],"['differ', 'disagree', 'start a debate', 'discuss options', 'present arguments']",
pick fights,v|~s,gendered,male_stereotype,male_stereotype,"['differ', 'disagree', 'start debates', 'discuss options', 'present arguments']",[],"['differ', 'disagree', 'start debates', 'discuss options', 'present arguments']",
the man in the street,|~s|||~s,gendered,male_stereotype,male_stereotype,"['people in the street', 'the average person', 'the general public']",[],"['people in the street', 'the average person', 'the general public']",
account manager,~s|s,gendered,titles,titles,"['person in account management', 'they', 'account management', 'people in account management', 'person managing accounts(...)', 'someone in the account management role(...)']","['people in account management', 'account management', 'people managing accounts(...)', 'people in account management roles(...)']","['account management', 'person in account management', 'they', 'person managing accounts(...)', 'someone in the account management role(...)', 'people in account management']",
construction man,~s|s,gendered,titles,generic_plural,"['construction worker', 'they', 'construction', 'construction crew', 'construction workers']","['construction workers', 'construction crew', 'construction']","['construction', 'construction worker', 'they', 'construction crew', 'construction workers']",
delivery boy,~s|s,gendered,titles,titles,"['courier', 'messenger', 'delivery']",['delivery'],"['delivery', 'courier', 'messenger']",
delivery girl,~s|s,gendered,titles,titles,"['courier', 'messenger', 'delivery']",['delivery'],"['delivery', 'courier', 'messenger']",
delivery man,~s|s,gendered,titles,titles,"['delivery person', 'they', 'delivery', 'delivery team', 'delivery staff', 'delivery persons', 'delivery people']","['delivery persons', 'delivery people', 'delivery team', 'delivery staff', 'delivery']","['delivery', 'delivery person', 'they', 'delivery team', 'delivery staff', 'delivery persons', 'delivery people']",
