Lemma,Word_Type,Category,Primary_subcategory,Sg_all_split,Pl_all_split,Alt_split
Fachspezialist,s,gendered,function,"['Fachperson', 'Fachkraft', 'Fachspezialist~in~/~Fachspezialist', 'Fachpersonal', 'in einem Fach bewanderte Person(...)', 'jemand vom Fach(...)', 'fachlich versierte Person(...)', 'Person, die sich (auf ...) spezialisiert hat']","['Fachkräfte', 'Fachspezialist~innen~ und ~Fachspezialisten', 'Fachpersonal', 'auf (...) spezialisierte Personen', 'Leute vom Fach(...)', 'Personen, die sich (auf ...) spezialisiert haben']","['Fachperson', 'Fachkraft', 'Fachspezialist~in~/~Fachspezialist', 'in einem Fach bewanderte Person(...)', 'jemand vom Fach(...)', 'fachlich versierte Person(...)', 'Person, die sich (auf ...) spezialisiert hat', 'Fachpersonal', 'Fachkräfte', 'Fachspezialist~innen~ und ~Fachspezialisten', 'auf (...) spezialisierte Personen', 'Leute vom Fach(...)', 'Personen, die sich (auf ...) spezialisiert haben']"
Besuchergruppe,s,gendered,advanced_hidden_image,"['Besuchsgruppe', 'Gästegruppe']","['Besuchsgruppen', 'Gästegruppen']","['Besuchsgruppe', 'Gästegruppe', 'Besuchsgruppen', 'Gästegruppen']"
Expertenrating,s,gendered,advanced_hidden_image,['Rating von Fachleuten'],['Ratings von Fachleuten'],"['Rating von Fachleuten', 'Ratings von Fachleuten']"
Parlamentarier,s,gendered,function,"['Parlamentsmitglied', 'Abgeordnet~e~/~Abgeordneter', 'Parlamentarier~in~/~Parlamentarier']","['Parlamentsmitglieder', 'Abgeordnete', 'Parlamentarier~innen~ und ~Parlamentarier']","['Parlamentsmitglied', 'Abgeordnet~e~/~Abgeordneter', 'Parlamentarier~in~/~Parlamentarier', 'Parlamentsmitglieder', 'Abgeordnete', 'Parlamentarier~innen~ und ~Parlamentarier']"
Arbeitskollege,s,gendered,function,"['Teammitglied', 'Arbeitskolleg~in~/~Arbeitskollege', 'Team', 'Personal', 'Belegschaft', 'Person, die im selben Unternehmen arbeitet(...)', 'Person, die man von der Arbeit kennt(...)', 'jemand, der im selben Team arbeitet (...)']","['Teammitglieder', 'Arbeitskolleg~innen~ und ~Arbeitskollegen', 'Team', 'Personal', 'Belegschaft', 'Personen im selben Team(...)', 'Personen, die im selben Unternehmen arbeiten(...)', 'Personen, die man von der Arbeit kennt(...)']","['Teammitglied', 'Arbeitskolleg~in~/~Arbeitskollege', 'Person, die im selben Unternehmen arbeitet(...)', 'Person, die man von der Arbeit kennt(...)', 'jemand, der im selben Team arbeitet (...)', 'Team', 'Personal', 'Belegschaft', 'Teammitglieder', 'Arbeitskolleg~innen~ und ~Arbeitskollegen', 'Personen im selben Team(...)', 'Personen, die im selben Unternehmen arbeiten(...)', 'Personen, die man von der Arbeit kennt(...)']"
Auszubildender,s,gendered,titles,"['Azubi', 'Auszubildend~e~/~Auszubildender', 'Person in der Ausbildung(...)', 'Ausbildung(...)', 'Ausbildungsabteilung(...)']","['Auszubildende', 'Personen in der Ausbildung(...)']","['Azubi', 'Auszubildend~e~/~Auszubildender', 'Person in der Ausbildung(...)', 'Ausbildung(...)', 'Ausbildungsabteilung(...)', 'Auszubildende', 'Personen in der Ausbildung(...)']"
Antragssteller,s,gendered,titles,"['Antragsteller~in~/~Antragsteller', 'Person, die einen Antrag stellt(...)', 'beantragende Person(...)', 'Antragstellung(...)']","['Antragsstellende', 'Beantragende', '(gestellte ...) Anträge', 'Antragssteller~innen~ und ~Antragssteller', 'Personen, die (...) beantragen']","['Antragsteller~in~/~Antragsteller', 'Person, die einen Antrag stellt(...)', 'beantragende Person(...)', 'Antragstellung(...)', 'Antragsstellende', 'Beantragende', '(gestellte ...) Anträge', 'Antragssteller~innen~ und ~Antragssteller', 'Personen, die (...) beantragen']"
Bundeskanzler,s,gendered,function,['Bundeskanzler~in~/~Bundeskanzler'],['Bundeskanzler~innen~ und ~Bundeskanzler'],"['Bundeskanzler~in~/~Bundeskanzler', 'Bundeskanzler~innen~ und ~Bundeskanzler']"
Expertenkreis,s,gendered,advanced_hidden_image,"['Fachkreis', 'Fachgruppe', 'Sachverständigenkreis']","['Fachkreise', 'Fachgruppen', 'Sachverständigenkreise']","['Fachkreis', 'Fachgruppe', 'Sachverständigenkreis', 'Fachkreise', 'Fachgruppen', 'Sachverständigenkreise']"
Mutterkonzern,s,gendered,advanced_hidden_image,"['Dachkonzern', 'Konzerndach', 'Holding', 'Unternehmen mit Schachtelgesellschaften']","['Dachkonzerne', 'Konzerndächer', 'Konzerne mit Schachtelgesellschaften', 'Holdings']","['Dachkonzern', 'Konzerndach', 'Holding', 'Unternehmen mit Schachtelgesellschaften', 'Dachkonzerne', 'Konzerndächer', 'Konzerne mit Schachtelgesellschaften', 'Holdings']"
