infinitiv,present_ich,present_du,present_pronoun,past_tense_ich,past_participle,conjunctive_ich,imperativ_singular,imperativ_plural,helping_verb,infinitiv_zu
flimmern,flimmere,flimmerst,flimmert,flimmerte,geflimmert,flimmerte,flimmere,flimmert,haben,zu flimmern
gebärden,gebärde,gebärdest,gebärdet,gebärdete,gebärdet,gebärdete,gebärd,gebärdet,haben,zu gebärden
disziplinieren,diszipliniere,disziplinierst,diszipliniert,disziplinierte,diszipliniert,disziplinierte,disziplinier,diszipliniert,haben,zu disziplinieren
staken,stake,stakst,stakt,stakte,gestakt,stakte,stak,stakt,haben,zu staken
transkribieren,transkribiere,transkribierst,transkribiert,transkribierte,transkribiert,transkribierte,transkribiere,transkribiert,haben,zu transkribieren
vorfühlen,fühle vor,fühlst vor,fühlt vor,fühlte vor,vorgefühlt,fühlte vor,fühl vor,fühlt vor,haben,zu vorfühlen
nachfühlen,fühle nach,fühlst nach,fühlt nach,fühlte nach,nachgefühlt,fühlte nach,fühl nach,fühlt nach,haben,nachzufühlen
befühlen,befühle,befühlst,befühlt,befühlte,befühlt,befühlte,befühle,befühlt,haben,zu befühlen
mitfühlen,fühle mit,fühlst mit,fühlt mit,fühlte mit,mitgefühlt,fühlte mit,fühl mit,fühlt mit,haben,mitzufühlen
anfühlen,fühle an,fühlst an,fühlt an,fühlte an,angefühlt,fühlte an,fühl an,fühlt an,haben,anzufühlen
erfühlen,erfühle,erfühlst,erfühlt,erfühlte,erfühlt,erfühlte,erfühl,erfühlt,haben,zu erfühlen
einsagen,sage ein,sagst ein,sagt ein,sagte ein,eingesagt,sagte ein,sag ein,sagt ein,haben,einzusagen
einenglischen,englische ein,englischst ein,englischt ein,englischte ein,eingeenglischt,englischte ein,englische ein,englischt ein,haben,einzuenglischen
feilbieten,biete feil,bietest feil,bietet feil,bot feil,feilgeboten,böte feil,biet feil,bietet feil,haben,zu feilbieten
leidtun,tu leid,tust leid,tut leid,tat leid,leidgetan,täte leid,tu leid,tut leid,haben,leidzutun
aufrufen,rufe auf,rufst auf,ruft auf,rief auf,aufgerufen,riefe auf,ruf auf,ruft auf,haben,aufzurufen
nachforschen,forsche nach,forschst nach,forscht nach,forschte nach,nachgeforscht,forschte nach,forsche nach,forscht nach,haben,nachzuforschen
abräumen,räume ab,räumst ab,räumt ab,räumte ab,abgeräumt,räumte ab,räume ab,räumt ab,haben,abzuräumen
räumen,räume,räumst,räumt,räumte,geräumt,räumte,räume,räumt,haben,zu räumen
weglaufen,laufe weg,läufst weg,läuft weg,lief weg,weggelaufen,liefe weg,lauf weg,lauft weg,sein,wegzulaufen
mitessen,esse mit,isst mit,isst mit,aß mit,mitgegessen,äße mit,iss mit,esst mit,haben,mitzuessen
infizieren,infiziere,infizierst,infiziert,infizierte,infiziert,infizierte,infiziere,infiziert,haben,infizuzieren
anstecken,stecke an,steckst an,steckt an,steckte an,angesteckt,steckte an,stecke an,steckt an,haben,anzustecken
schillern,schillere,schillerst,schillert,schillerte,geschillert,schillerte,schillere,schillert,haben,zu schillern
loslassen,lasse los,lässt los,lässt los,ließ los,losgelassen,ließe los,lass los,lasst los,haben,zu loslassen
leasen,lease,least,least,leaste,geleast,leaste,lease,least,haben,zu leasen
schlachten,schlachte,schlachtest,schlachtet,schlachtete,geschlachtet,schlachtete,schlachte,schlachtet,haben,zu schlachten
gruppieren,gruppiere,gruppierst,gruppiert,gruppierte,gruppiert,gruppierte,gruppier,gruppiert,haben,zu gruppieren
anfinden,finde an,findest an,findet an,fand an,angefunden,fände an,finde an,findet an,haben,anzufinden
abhäuten,häute ab,häutest ab,häutet ab,häutete ab,abgehäutet,häutete ab,häute ab,häutet ab,haben,abzuhäuten
anbeißen,beiße an,beißt an,beißt an,biss an,angebissen,bisse an,beiß an,beißt an,haben,anzubeißen
aufblasen,blase auf,bläst auf,bläst auf,blies auf,aufgeblasen,bliese auf,blase auf,blast auf,haben,aufzublasen
aufbleiben,bleibe auf,bleibst auf,bleibt auf,blieb auf,aufgeblieben,bliebe auf,bleibe auf,bleibt auf,sein,aufzubleiben
erschießen,erschieße,erschießt,erschießt,erschoss,erschossen,erschösse,erschieß,erschießt,haben,zu erschießen
nachgehen,gehe nach,gehst nach,geht nach,ging nach,nachgegangen,ginge nach,geh nach,geht nach,sein,nachzugehen
herausnehmen,nehme heraus,nimmst heraus,nimmt heraus,nahm heraus,herausgenommen,nähme heraus,nimm heraus,nehmt heraus,haben,herzuausnehmen
garnieren,garniere,garnierst,garniert,garnierte,garniert,garnierte,garniere,garniert,haben,zu garnieren
haften,hafte,haftest,haftet,haftete,gehaftet,haftete,haft,haftet,haben,zu haften
schnappen,schnappe,schnappst,schnappt,schnappte,geschnappt,schnappte,schnapp,schnappt,sein,zu schnappen
abgenzern,genzere ab,genzerst ab,genzert ab,genzerte ab,abgegenzert,genzerte ab,genzer ab,genzert ab,haben,abzugenzern
zurückverfolgen,verfolge zurück,verfolgst zurück,verfolgt zurück,verfolgte zurück,zurückverfolgt,verfolgte zurück,verfolge zurück,verfolgt zurück,haben,zuzurückverfolgen
verstellen,verstelle,verstellst,verstellt,verstellte,verstellt,verstellte,verstell,verstellt,haben,zu verstellen
aufrunden,runde auf,rundest auf,rundet auf,rundete auf,aufgerundet,rundete auf,runde auf,rundet auf,haben,aufzurunden
ausbacken,backe aus,backst aus,backt aus,backte aus,ausgebacken,backte aus,backe aus,backt aus,haben,auszubacken
einreiben,reibe ein,reibst ein,reibt ein,rieb ein,eingerieben,riebe ein,reib ein,reibt ein,haben,einzureiben
beruhen,—,—,beruht,beruhte,beruht,beruhte,—,—,haben,zu beruhen
hämmern,hämmere,hämmerst,hämmert,hämmerte,gehämmert,hämmerte,hämmere,hämmert,haben,zu hämmern
prollen,prolle,prollst,prollt,prollte,geprollt,prollte,proll,prollt,haben,zu prollen
lobpreisen,lobpreise,lobpreist,lobpreist,lobpries,lobgepriesen,lobpriese,lobpreis,lobpreist,haben,zu lobpreisen
sticken,sticke,stickst,stickt,stickte,gestickt,stickte,sticke,stickt,haben,zu sticken
obsignieren,obsigniere,obsignierst,obsigniert,obsignierte,obsigniert,obsignierte,obsignier,obsigniert,haben,zu obsignieren
ausliefern,liefere aus,lieferst aus,liefert aus,lieferte aus,ausgeliefert,lieferte aus,liefere aus,liefert aus,haben,auszuliefern
aussterben,sterbe aus,stirbst aus,stirbt aus,starb aus,ausgestorben,stürbe aus,stirb aus,sterbt aus,sein,auszusterben
laben,labe,labst,labt,labte,gelabt,labte,lab,labt,haben,zu laben
kursieren,kursiere,kursierst,kursiert,kursierte,kursiert,kursierte,kursiere,kursiert,haben,zu kursieren
entkorken,entkorke,entkorkst,entkorkt,entkorkte,entkorkt,entkorkte,entkork,entkorkt,haben,zu entkorken
radikalisieren,radikalisiere,radikalisierst,radikalisiert,radikalisierte,radikalisiert,radikalisierte,radikalisiere,radikalisiert,haben,zu radikalisieren
festschreiben,schreibe fest,schreibst fest,schreibt fest,schrieb fest,festgeschrieben,schriebe fest,schreib fest,schreibt fest,haben,festzuschreiben
rempeln,remple,rempelst,rempelt,rempelte,gerempelt,rempelte,remple,rempelt,haben,zu rempeln
rekognoszieren,rekognosziere,rekognoszierst,rekognosziert,rekognoszierte,rekognosziert,rekognoszierte,rekognosziere,rekognosziert,haben,zu rekognoszieren
überlaufen,laufe über,läufst über,läuft über,lief über,übergelaufen,liefe über,lauf über,lauft über,sein,überzulaufen
übertrumpfen,übertrumpfe,übertrumpfst,übertrumpft,übertrumpfte,übertrumpft,übertrumpfte,übertrumpfe,übertrumpft,haben,zu übertrumpfen
beklagen,beklage,beklagst,beklagt,beklagte,beklagt,beklagte,beklag,beklagt,haben,zu beklagen
hinpflanzen,pflanze hin,pflanzt hin,pflanzt hin,pflanzte hin,hingepflanzt,pflanzte hin,pflanz hin,pflanzt hin,haben,hinzupflanzen
konfrontieren,konfrontiere,konfrontierst,konfrontiert,konfrontierte,konfrontiert,konfrontierte,konfrontiere,konfrontiert,haben,zu konfrontieren
heraufbeschwören,beschwöre herauf,beschwörst herauf,beschwört herauf,beschwor herauf,heraufbeschworen,beschwöre herauf,beschwöre herauf,beschwört herauf,haben,herzuaufbeschwören
erwägen,erwäge,erwägst,erwägt,erwog,erwogen,erwöge,erwäg,erwägt,haben,zu erwägen
beschwören,beschwöre,beschwörst,beschwört,beschwor,beschworen,beschwöre,beschwöre,beschwört,haben,zu beschwören
brocken,brocke,brockst,brockt,brockte,gebrockt,brockte,brocke,brockt,haben,zu brocken
abbrocken,brocke ab,brockst ab,brockt ab,brockte ab,abgebrockt,brockte ab,brocke ab,brockt ab,haben,abzubrocken
abrocken,rocke ab,rockst ab,rockt ab,rockte ab,abgerockt,rockte ab,rocke ab,rockt ab,haben,abzurocken
einschreiben,schreibe ein,schreibst ein,schreibt ein,schrieb ein,eingeschrieben,schriebe ein,schreib ein,schreibt ein,haben,einzuschreiben
krönen,kröne,krönst,krönt,krönte,gekrönt,krönte,kröne,krönt,haben,zu krönen
zerbröseln,zerbrösele,zerbröselst,zerbröselt,zerbröselte,zerbröselt,zerbröselte,zerbrösele,zerbröselt,sein,zu zerbröseln
bröseln,brösle,bröselst,bröselt,bröselte,bröselt,bröselte,brösle,bröselt,sein,zu bröseln
krauchen,krauche,krauchst,kraucht,krauchte,gekraucht,krauchte,krauch,kraucht,sein,zu krauchen
langweilen,langweile,langweilst,langweilt,langweilte,gelangweilt,langweilte,langweil,langweilt,haben,langzuweilen
futtern,futtere,futterst,futtert,futterte,gefuttert,futterte,futtere,futtert,haben,zu futtern
verwackeln,verwackele,verwackelst,verwackelt,verwackelte,verwackelt,verwackelte,verwackle,verwackelt,haben,zu verwackeln
abspülen,spüle ab,spülst ab,spült ab,spülte ab,abgespült,spülte ab,spüle ab,spült ab,haben,abzuspülen
nachäffen,äffe nach,äffst nach,äfft nach,äffte nach,nachgeäfft,äffte nach,äffe nach,äfft nach,haben,nachzuäffen
prokrastinieren,prokrastiniere,prokrastinierst,prokrastiniert,prokrastinierte,prokrastiniert,prokrastinierte,prokrastinier,prokrastiniert,haben,zu prokrastinieren
maiumen,—,—,maiumt,maiumte,maiumt,maiumte,—,—,haben,zu maiumen
maimeln,—,—,maimelt,maimelte,gemaimelt,maimelte,—,—,haben,zu maimeln
meimeln,—,—,meimelt,meimelte,gemeimelt,meimelte,—,—,haben,zu meimeln
verwehen,verwehe,verwehst,verweht,verwehte,verweht,verwehte,verwehe,verweht,sein,zu verwehen
blöken,blöke,blökst,blökt,blökte,geblökt,blökte,blöke,blökt,haben,zu blöken
schrumpfen,schrumpfe,schrumpfst,schrumpft,schrumpfte,geschrumpft,schrumpfte,schrumpf,schrumpft,sein,zu schrumpfen
sündigen,sündige,sündigst,sündigt,sündigte,gesündigt,sündigte,sündig,sündigt,haben,zu sündigen
schnattern,schnattere,schnatterst,schnattert,schnatterte,geschnattert,schnatterte,schnatter,schnattert,haben,zu schnattern
bekochen,bekoche,bekochst,bekocht,bekochte,bekocht,bekochte,bekoch,bekocht,haben,zu bekochen
aufteilen,teile auf,teilst auf,teilt auf,teilte auf,aufgeteilt,teilte auf,teil auf,teilt auf,haben,aufzuteilen
belustigen,belustige,belustigst,belustigt,belustigte,belustigt,belustigte,belustige,belustigt,haben,zu belustigen
muddeln,muddele,muddelst,muddelt,muddelte,gemuddelt,muddelte,muddele,muddelt,haben,zu muddeln
bespaßen,bespaße,bespaßt,bespaßt,bespaßte,bespaßt,bespaßte,bespaße,bespaßt,haben,zu bespaßen
überblicken,überblicke,überblickst,überblickt,überblickte,überblickt,überblickte,überblicke,überblickt,haben,zu überblicken
runden,runde,rundest,rundet,rundete,gerundet,rundete,runde,rundet,haben,zu runden
arrestieren,arrestiere,arrestierst,arrestiert,arrestierte,arrestiert,arrestierte,arrestiere,arrestiert,haben,zu arrestieren
erfordern,erfordere,erforderst,erfordert,erforderte,erfordert,erforderte,erforder,erfordert,haben,zu erfordern
haushalten,haushalte,haushaltest,haushaltet,haushaltete,gehaushaltet,haushaltete,haushalt,haushaltet,haben,zu haushalten
konterminieren,konterminiere,konterminierst,konterminiert,konterminierte,konterminiert,konterminierte,konterminier,konterminiert,haben,konterzuminieren
verminen,vermine,verminst,vermint,verminte,vermint,verminte,vermine,vermint,haben,zu verminen
outsourcen,outsource,outsourct,outsourct,outsourcte,outgesourct,outsourcte,outsource,outsourct,haben,zu outsourcen
unterpflügen,pflüge unter,pflügst unter,pflügt unter,pflügte unter,untergepflügt,pflügte unter,pflüg unter,pflügt unter,haben,unterzupflügen
entflammen,entflamme,entflammst,entflammt,entflammte,entflammt,entflammte,entflamm,entflammt,haben,zu entflammen
verwahren,verwahre,verwahrst,verwahrt,verwahrte,verwahrt,verwahrte,verwahr,verwahrt,haben,zu verwahren
tarnen,tarne,tarnst,tarnt,tarnte,getarnt,tarnte,tarne,tarnt,haben,zu tarnen
stochen,stoche,stochst,stocht,stochte,gestocht,stochte,stoch,stocht,haben,zu stochen
beherzigen,beherzige,beherzigst,beherzigt,beherzigte,beherzigt,beherzigte,beherzig,beherzigt,haben,zu beherzigen
revolvieren,revolviere,revolvierst,revolviert,revolvierte,revolviert,revolvierte,revolvier,revolviert,haben,zu revolvieren
abecedieren,abecediere,abecedierst,abecediert,abecedierte,abecediert,abecedierte,abecediere,abecediert,haben,abzuecedieren
riestern,riestere,riesterst,riestert,riesterte,geriestert,riesterte,riestre,riestert,haben,zu riestern
picken,picke,pickst,pickt,pickte,gepickt,pickte,picke,pickt,haben,zu picken
verhunzen,verhunze,verhunzt,verhunzt,verhunzte,verhunzt,verhunzte,verhunz,verhunzt,haben,zu verhunzen
verunstalten,verunstalte,verunstaltest,verunstaltet,verunstaltete,verunstaltet,verunstaltete,verunstalt,verunstaltet,haben,zu verunstalten
absterben,sterbe ab,stirbst ab,stirbt ab,starb ab,abgestorben,stürbe ab,stirb ab,sterbt ab,sein,abzusterben
feuern,feuere,feuerst,feuert,feuerte,gefeuert,feuerte,feuer,feuert,haben,zu feuern
munizipalisieren,munizipalisiere,munizipalisierst,munizipalisiert,munizipalisierte,munizipalisiert,munizipalisierte,munizipalisier,munizipalisiert,haben,zu munizipalisieren
kleinreden,rede klein,redest klein,redet klein,redete klein,kleingeredet,redete klein,rede klein,redet klein,haben,kleinzureden
kandidieren,kandidiere,kandidierst,kandidiert,kandidierte,kandidiert,kandidierte,kandidiere,kandidiert,haben,zu kandidieren
aufspielen,spiele auf,spielst auf,spielt auf,spielte auf,aufgespielt,spielte auf,spiele auf,spielt auf,haben,aufzuspielen
brausen,brause,braust,braust,brauste,gebraust,brauste,brause,braust,sein,zu brausen
schmettern,schmettere,schmetterst,schmettert,schmetterte,geschmettert,schmetterte,schmetter,schmettert,haben,zu schmettern
aufschließen,schließe auf,schließt auf,schließt auf,schloss auf,aufgeschlossen,schlösse auf,schließ auf,schließt auf,haben,aufzuschließen
zuschließen,schließe zu,schließt zu,schließt zu,schloss zu,zugeschlossen,schlösse zu,schließ zu,schließt zu,haben,zuzuschließen
großziehen,ziehe groß,ziehst groß,zieht groß,zog groß,großgezogen,zöge groß,zieh groß,zieht groß,haben,großzuziehen
mulatieren,mulatiere,mulatierst,mulatiert,mulatierte,mulatiert,mulatierte,mulatiere,mulatiert,haben,zu mulatieren
kegeln,kegele,kegelst,kegelt,kegelte,gekegelt,kegelte,kegele,kegelt,haben,zu kegeln
knietschen,knietsche,knietschst,knietscht,knietschte,geknietscht,knietschte,knietsch,knietscht,haben,zu knietschen
verschlampen,verschlampe,verschlampst,verschlampt,verschlampte,verschlampt,verschlampte,verschlampe,verschlampt,haben,zu verschlampen
schlampen,schlampe,schlampst,schlampt,schlampte,geschlampt,schlampte,schlampe,schlampt,haben,zu schlampen
einkochen,koche ein,kochst ein,kocht ein,kochte ein,eingekocht,kochte ein,koche ein,kocht ein,haben,einzukochen
einmachen,mache ein,machst ein,macht ein,machte ein,eingemacht,machte ein,mache ein,macht ein,haben,einzumachen
betuppen,betuppe,betuppst,betuppt,betuppte,betuppt,betuppte,betupp,betuppt,haben,zu betuppen
einbrennen,brenne ein,brennst ein,brennt ein,brannte ein,eingebrannt,brennte ein,brenne ein,brennt ein,haben,einzubrennen
entriegeln,entriegle,entriegelst,entriegelt,entriegelte,entriegelt,entriegelte,entriegle,entriegelt,haben,zu entriegeln
rekuperieren,rekuperiere,rekuperierst,rekuperiert,rekuperierte,rekuperiert,rekuperierte,rekuperiere,rekuperiert,haben,zu rekuperieren
ausgrauen,graue aus,graust aus,graut aus,graute aus,ausgegraut,graute aus,grau aus,graut aus,haben,auszugrauen
läppern,läppere,läpperst,läppert,läpperte,geläppert,läpperte,läppere,läppert,haben,zu läppern
kaputtmachen,mache kaputt,machst kaputt,macht kaputt,machte kaputt,kaputtgemacht,machte kaputt,mach kaputt,macht kaputt,haben,kaputtzumachen
geheien,geheie,geheist,geheit,geheite,geheit,geheite,geheie,geheit,haben,zu geheien
piepen,piepe,piepst,piept,piepte,gepiept,piepte,piep,piept,haben,zu piepen
dastehen,stehe da,stehst da,steht da,stand da,dagestanden,stünde da,steh da,steht da,haben,dazustehen
hofieren,hofiere,hofierst,hofiert,hofierte,hofiert,hofierte,hofiere,hofiert,haben,zu hofieren
herrühren,rühre her,rührst her,rührt her,rührte her,hergerührt,rührte her,rühr her,rührt her,haben,herzurühren
alteln,altel,altelst,altelt,altelte,gealtelt,altelte,altel,altelt,sein,zu alteln
herumhacken,hacke herum,hackst herum,hackt herum,hackte herum,herumgehackt,hackte herum,hack herum,hackt herum,haben,herzuumhacken
umhinkönnen,kann umhin,kannst umhin,kann umhin,konnte umhin,umhingekonnt,könnte umhin,—,—,haben,umzuhinkönnen
vorliebnehmen,nehme vorlieb,nimmst vorlieb,nimmt vorlieb,nahm vorlieb,vorliebgenommen,nähme vorlieb,nimm vorlieb,nehmt vorlieb,haben,zu vorliebnehmen
zunichtemachen,mache zunichte,machst zunichte,macht zunichte,machte zunichte,zunichtegemacht,machte zunichte,mache zunichte,macht zunichte,haben,zuzunichtemachen
zernichten,zernichte,zernichtest,zernichtet,zernichtete,zernichtet,zernichtete,zernichte,zernichtet,haben,zu zernichten
tracheotomieren,tracheotomiere,tracheotomierst,tracheotomiert,tracheotomierte,tracheotomiert,tracheotomierte,tracheotomiere,tracheotomiert,haben,zu tracheotomieren
nitrieren,nitriere,nitrierst,nitriert,nitrierte,nitriert,nitrierte,nitriere,nitriert,haben,zu nitrieren
überanstrengen,überanstrenge,überanstrengst,überanstrengt,überanstrengte,überanstrengt,überanstrengte,überanstreng,überanstrengt,haben,zu überanstrengen
ertränken,ertränke,ertränkst,ertränkt,ertränkte,ertränkt,ertränkte,ertränke,ertränkt,haben,zu ertränken
übervorteilen,übervorteile,übervorteilst,übervorteilt,übervorteilte,übervorteilt,übervorteilte,übervorteil,übervorteilt,haben,zu übervorteilen
maßregeln,maßregle,maßregelst,maßregelt,maßregelte,gemaßregelt,maßregelte,maßregle,maßregelt,haben,zu maßregeln
dartun,tue dar,tust dar,tut dar,tat dar,dargetan,täte dar,tue dar,tut dar,haben,darzutun
degraissieren,degraissiere,degraissierst,degraissiert,degraissierte,degraissiert,degraissierte,degraissiere,degraissiert,haben,zu degraissieren
conchieren,conchiere,conchierst,conchiert,conchierte,conchiert,conchierte,conchiere,conchiert,haben,zu conchieren
transferieren,transferiere,transferierst,transferiert,transferierte,transferiert,transferierte,transferiere,transferiert,haben,zu transferieren
dabei sein,bin dabei,bist dabei,ist dabei,war dabei,dabei gewesen,wäre dabei,sei dabei,seit dabei,sein,zu dabei sein
stricken,stricke,strickst,strickt,strickte,gestrickt,strickte,stricke,strickt,haben,zu stricken
herumdrucksen,druckse herum,druckst herum,druckst herum,druckste herum,herumgedruckst,druckste herum,drucks herum,druckst herum,haben,herzuumdrucksen
bewenden,bewende,bewendest,bewendet,bewendete,bewendet,bewendete,bewend,bewendet,haben,zu bewenden
auskommentieren,kommentiere aus,kommentierst aus,kommentiert aus,kommentierte aus,auskommentiert,kommentierte aus,kommentier aus,kommentiert aus,haben,auszukommentieren
ersticken,ersticke,erstickst,erstickt,erstickte,erstickt,erstickte,ersticke,erstickt,sein,zu ersticken
enthaupten,enthaupte,enthauptest,enthauptet,enthauptete,enthauptet,enthauptete,enthaupte,enthauptet,haben,zu enthaupten
erhängen,erhänge,erhängst,erhängt,erhängte,erhängt,erhängte,erhäng,erhängt,haben,zu erhängen
erschlagen,erschlage,erschlägst,erschlägt,erschlug,erschlagen,erschlüge,erschlag,erschlagt,haben,zu erschlagen
häuten,häute,häutest,häutet,häutete,gehäutet,häutete,häut,häutet,haben,zu häuten
vergasen,vergase,vergast,vergast,vergaste,vergast,vergaste,vergase,vergast,haben,zu vergasen
skalpieren,skalpiere,skalpierst,skalpiert,skalpierte,skalpiert,skalpierte,skalpiere,skalpiert,haben,zu skalpieren
schlecken,schlecke,schleckst,schleckt,schleckte,geschleckt,schleckte,schleck,schleckt,haben,zu schlecken
wurmen,—,—,wurmt,wurmte,gewurmt,wurmte,—,—,haben,zu wurmen
anellieren,anelliere,anellierst,anelliert,anellierte,anelliert,anellierte,anellier,anelliert,haben,anzuellieren
nasführen,nasführe,nasführst,nasführt,nasführte,genasführt,nasführte,nasführe,nasführt,haben,zu nasführen
sprudeln,sprudele,sprudelst,sprudelt,sprudelte,gesprudelt,sprudelte,sprudele,sprudelt,sein,zu sprudeln
verbleichen,verbleiche,verbleichst,verbleicht,verblich,verblichen,verbliche,verbleich,verbleicht,sein,zu verbleichen
kodieren,kodiere,kodierst,kodiert,kodierte,kodiert,kodierte,kodiere,kodiert,haben,zu kodieren
durchwinken,winke durch,winkst durch,winkt durch,winkte durch,durchgewinkt,winkte durch,winke durch,winkt durch,haben,zu durchwinken
kapitulieren,kapituliere,kapitulierst,kapituliert,kapitulierte,kapituliert,kapitulierte,kapitulier,kapituliert,haben,zu kapitulieren
besänftigen,besänftige,besänftigst,besänftigt,besänftigte,besänftigt,besänftigte,besänftige,besänftigt,haben,zu besänftigen
zuraten,rate zu,rätst zu,rät zu,riet zu,zugeraten,riete zu,rate zu,ratet zu,haben,zuzuraten
toben,tobe,tobst,tobt,tobte,getobt,tobte,tob,tobt,haben,zu toben
aufplustern,plustere auf,plusterst auf,plustert auf,plusterte auf,aufgeplustert,plusterte auf,plustere auf,plustert auf,haben,aufzuplustern
verdünnisieren,verdünnisiere,verdünnisierst,verdünnisiert,verdünnisierte,verdünnisiert,verdünnisierte,verdünnisier,verdünnisiert,haben,zu verdünnisieren
containerisieren,containerisiere,containerisierst,containerisiert,containerisierte,containerisiert,containerisierte,containerisiere,containerisiert,haben,zu containerisieren
wölben,wölbe,wölbst,wölbt,wölbte,gewölbt,wölbte,wölb,wölbt,haben,zu wölben
müffeln,müffle,müffelst,müffelt,müffelte,gemüffelt,müffelte,müffle,müffelt,haben,zu müffeln
abaasen,aase ab,aast ab,aast ab,aaste ab,abgeaast,aaste ab,aase ab,aast ab,haben,abzuaasen
morden,morde,mordest,mordet,mordete,gemordet,mordete,morde,mordet,haben,zu morden
deflorieren,defloriere,deflorierst,defloriert,deflorierte,defloriert,deflorierte,deflorier,defloriert,haben,zu deflorieren
löcken,löcke,löckst,löckt,löckte,gelöckt,löckte,löck,löckt,haben,zu löcken
timbrieren,timbriere,timbrierst,timbriert,timbrierte,timbriert,timbrierte,timbriere,timbriert,haben,zu timbrieren
honen,hone,honst,hont,honte,gehont,honte,hon,hont,haben,zu honen
läppen,läppe,läppst,läppt,läppte,geläppt,läppte,läpp,läppt,haben,zu läppen
schlichten,schlichte,schlichtest,schlichtet,schlichtete,geschlichtet,schlichtete,schlichte,schlichtet,haben,zu schlichten
verreißen,verreiße,verreißt,verreißt,verriss,verrissen,verrisse,verreiß,verreißt,haben,zu verreißen
verbalisieren,verbalisiere,verbalisierst,verbalisiert,verbalisierte,verbalisiert,verbalisierte,verbalisiere,verbalisiert,haben,zu verbalisieren
blechen,bleche,blechst,blecht,blechte,geblecht,blechte,blech,blecht,haben,zu blechen
koppen,koppe,koppst,koppt,koppte,gekoppt,koppte,kopp,koppt,haben,zu koppen
aufstoßen,stoße auf,stößt auf,stößt auf,stieß auf,aufgestoßen,stieße auf,stoße auf,stoßt auf,haben,aufzustoßen
meißeln,meißle,meißelst,meißelt,meißelte,gemeißelt,meißelte,meißle,meißelt,haben,zu meißeln
eintüten,tüte ein,tütest ein,tütet ein,tütete ein,eingetütet,tütete ein,tüte ein,tütet ein,haben,einzutüten
verlustieren,verlustiere,verlustierst,verlustiert,verlustierte,verlustiert,verlustierte,verlustier,verlustiert,haben,zu verlustieren
nachahmen,ahme nach,ahmst nach,ahmt nach,ahmte nach,nachgeahmt,ahmte nach,ahme nach,ahmt nach,haben,nachzuahmen
beigen,beige,beigst,beigt,beigte,gebeigt,beigte,beig,beigt,haben,zu beigen
auslegen,lege aus,legst aus,legt aus,legte aus,ausgelegt,legte aus,leg aus,legt aus,haben,auszulegen
strecken,strecke,streckst,streckt,streckte,gestreckt,streckte,streck,streckt,haben,zu strecken
rentieren,rentiere,rentierst,rentiert,rentierte,rentiert,rentierte,rentiere,rentiert,haben,zu rentieren
verwässern,verwässere,verwässerst,verwässert,verwässerte,verwässert,verwässerte,verwässere,verwässert,haben,zu verwässern
scharren,scharre,scharrst,scharrt,scharrte,gescharrt,scharrte,scharre,scharrt,haben,zu scharren
freimachen,mache frei,machst frei,macht frei,machte frei,freigemacht,machte frei,mach frei,macht frei,haben,freizumachen
frankieren,frankiere,frankierst,frankiert,frankierte,frankiert,frankierte,frankier,frankiert,haben,zu frankieren
zwangsbeglücken,zwangsbeglücke,zwangsbeglückst,zwangsbeglückt,zwangsbeglückte,zwangsbeglückt,zwangsbeglückte,zwangsbeglücke,zwangsbeglückt,haben,zu zwangsbeglücken
schnupfen,schnupfe,schnupfst,schnupft,schnupfte,geschnupft,schnupfte,schnupf,schnupft,haben,zu schnupfen
colorieren,coloriere,colorierst,coloriert,colorierte,coloriert,colorierte,coloriere,coloriert,haben,zu colorieren
kolorieren,koloriere,kolorierst,koloriert,kolorierte,koloriert,kolorierte,koloriere,koloriert,haben,zu kolorieren
fuckeln,fuckele,fuckelst,fuckelt,fuckelte,gefuckelt,fuckelte,fuckele,fuckelt,haben,zu fuckeln
vorbeizwängen,zwänge vorbei,zwängst vorbei,zwängt vorbei,zwängte vorbei,vorbeigezwängt,zwängte vorbei,zwänge vorbei,zwängt vorbei,haben,vorbeizuzwängen
nachsehen,sehe nach,siehst nach,sieht nach,sah nach,nachgesehen,sähe nach,sieh nach,seht nach,haben,nachzusehen
glotzen,glotze,glotzt,glotzt,glotzte,geglotzt,glotzte,glotz,glotzt,haben,zu glotzen
großschreiben,schreibe groß,schreibst groß,schreibt groß,schrieb groß,großgeschrieben,schriebe groß,schreib groß,schreibt groß,haben,großzuschreiben
beringen,beringe,beringst,beringt,beringte,beringt,beringte,bering,beringt,haben,zu beringen
begeben,begebe,begibst,begibt,begab,begeben,begäbe,begib,begebt,haben,zu begeben
entrappen,entrappe,entrappst,entrappt,entrappte,entrappt,entrappte,entrapp,entrappt,haben,zu entrappen
aufsehen,sehe auf,siehst auf,sieht auf,sah auf,aufgesehen,sähe auf,sieh auf,seht auf,haben,aufzusehen
piken,pike,pikst,pikt,pikte,gepikt,pikte,pik,pikt,haben,zu piken
einnorden,norde ein,nordest ein,nordet ein,nordete ein,eingenordet,nordete ein,nord ein,nordet ein,haben,einzunorden
situieren,situiere,situierst,situiert,situierte,situiert,situierte,situier,situiert,haben,zu situieren
rekonstruieren,rekonstruiere,rekonstruierst,rekonstruiert,rekonstruierte,rekonstruiert,rekonstruierte,rekonstruiere,rekonstruiert,haben,zu rekonstruieren
