Lemma,Word_Type,Priority,Category,Primary_subcategory,Sg_all_split,Pl_all_split,Alt_split
supporter,s,1,gendered,function,"['they', 'support', 'support team', 'supporters']","['supporters', 'support team', 'support']","['support', 'they', 'support team', 'supporters']"
surgeon,s,,gendered,titles,"['they', 'surgery', 'surgical personnel', 'surgical team', 'surgeons', 'person trained to carry out surgery']","['surgeons', 'surgical personnel', 'surgical team', 'surgery']","['surgery', 'they', 'person trained to carry out surgery', 'surgical personnel', 'surgical team', 'surgeons']"
technician,s,1,gendered,titles,"['they', 'technology', 'technicians']","['technicians', 'technology']","['technology', 'they', 'technicians']"
tester,s,1,gendered,function,"['they', 'testing', 'testers']","['testers', 'testing']","['testing', 'they', 'testers']"
trainer,s,1,gendered,function,"['coach', 'teacher', 'training']",['training'],"['training', 'coach', 'teacher']"
upperclassmen,s,,gendered,function,"['upper-level student', 'upper-level students']",['upper-level students'],"['upper-level student', 'upper-level students']"
user,s,,gendered,function,"['someone', 'anyone', 'person', 'they', 'customers', 'people']","['customers', 'people']","['someone', 'anyone', 'person', 'they', 'customers', 'people']"
usherette,s,,gendered,titles,"['usher', 'they', 'ushers']",['ushers'],"['usher', 'they', 'ushers']"
waiter,s,,gendered,titles,"['server', 'table attendant', 'they', 'servers', 'table attendants']","['servers', 'table attendants']","['server', 'table attendant', 'they', 'servers', 'table attendants']"
waitress,s,,gendered,titles,"['server', 'table attendant', 'they', 'servers', 'table attendants']","['servers', 'table attendants']","['server', 'table attendant', 'they', 'servers', 'table attendants']"
weatherman,s,,gendered,titles,"['weatherperson', 'meteorologist', 'weather reporter', 'weather forecaster', 'they', 'weatherpersons', 'meteorologists', 'weather reporters', 'weather forecasters']","['weatherpersons', 'meteorologists', 'weather reporters', 'weather forecasters']","['weatherperson', 'meteorologist', 'weather reporter', 'weather forecaster', 'they', 'weatherpersons', 'meteorologists', 'weather reporters', 'weather forecasters']"
