Lemma,Word_Type,Priority,Category,Primary_subcategory,Secondary_subcategory,Sg_all_split,Pl_all_split,Alt_split
unbekümmert,a,,unconscious_bias,agentic,rough,"['bedachtsam', 'gleichmütig', 'ausgeglichen', 'zuversichtlich', 'bereitwillig', 'unbeschwert', 'gelassen', 'entspannt', 'unverkrampft', 'optimistisch', 'gut aufgelegt']",[''],"['bedachtsam', 'gleichmütig', 'ausgeglichen', 'zuversichtlich', 'bereitwillig', 'unbeschwert', 'gelassen', 'entspannt', 'unverkrampft', 'optimistisch', 'gut aufgelegt']"
unbeugsam,a,,unconscious_bias,agentic,hard-hearted,"['zuverlässig', 'unverdrossen', 'unbeirrbar', 'loyal', 'geduldig', 'standhaft', 'aufrecht', 'ehrenhaft']",[''],"['zuverlässig', 'unverdrossen', 'unbeirrbar', 'loyal', 'geduldig', 'standhaft', 'aufrecht', 'ehrenhaft']"
unerschrocken,a,,unconscious_bias,agentic,competitive,"['experimentierfreudig', 'optimistisch', 'offen für neue Erfahrungen', 'mit Freude am Ausprobieren', 'auf die persönlichen Kompetenzen vertrauend']",[''],"['experimentierfreudig', 'optimistisch', 'offen für neue Erfahrungen', 'mit Freude am Ausprobieren', 'auf die persönlichen Kompetenzen vertrauend']"
unnachgiebig,a,,unconscious_bias,agentic,hard-hearted,"['zuverlässig', 'unverdrossen', 'unbeirrbar', 'loyal', 'geduldig', 'standhaft', 'aufrecht', 'ehrenhaft']",[''],"['zuverlässig', 'unverdrossen', 'unbeirrbar', 'loyal', 'geduldig', 'standhaft', 'aufrecht', 'ehrenhaft']"
unverschämt,a,,unconscious_bias,agentic,competitive,"['geradeheraus', 'von Mensch zu Mensch', 'offenherzig', 'gradlinig', 'aufrichtig', 'klar und offen', 'hinterfragend', 'zur eigenen Meinung stehend', 'die eigene Arbeit vertretend']",[''],"['geradeheraus', 'von Mensch zu Mensch', 'offenherzig', 'gradlinig', 'aufrichtig', 'klar und offen', 'hinterfragend', 'zur eigenen Meinung stehend', 'die eigene Arbeit vertretend']"
verfechten,v,,unconscious_bias,agentic,rough,"['nachvollziehbar darlegen', 'für (...) einstehen', 'für (...) argumentieren', 'Vorteile (von ...) aufzeigen']",[''],"['nachvollziehbar darlegen', 'für (...) einstehen', 'für (...) argumentieren', 'Vorteile (von ...) aufzeigen']"
vorantreiben,v,,unconscious_bias,agentic,competitive,"['sich engagieren (für)', 'sich einsetzen (für)']",[''],"['sich engagieren (für)', 'sich einsetzen (für)']"
wagen,v,,unconscious_bias,agentic,rough,"['ausprobieren', 'offen sein für Experimente', 'Chancen ausloten']",[''],"['ausprobieren', 'offen sein für Experimente', 'Chancen ausloten']"
waghalsig,a,,unconscious_bias,agentic,rough,"['experimentierfreudig', 'optimistisch', 'neugierig', 'offen für neue Erfahrungen', 'mit Freude am Ausprobieren', 'auf die persönlichen Kompetenzen vertrauend', 'mit Spaß an Neuem', 'offen für neue Entdeckungen', 'Dinge ausprobieren wollen']",[''],"['experimentierfreudig', 'optimistisch', 'neugierig', 'offen für neue Erfahrungen', 'mit Freude am Ausprobieren', 'auf die persönlichen Kompetenzen vertrauend', 'mit Spaß an Neuem', 'offen für neue Entdeckungen', 'Dinge ausprobieren wollen']"
wettbewerbsfähig,a,,unconscious_bias,agentic,competitive,"['fleißig', 'tüchtig', 'unternehmerisch in Denken und Handeln', 'preisgünstig', 'umsetzungsfreudig', 'enthusiastisch im Erreichen von gemeinsamen Meilensteinen', 'Kundenkriterien erfüllend']",[''],"['fleißig', 'tüchtig', 'unternehmerisch in Denken und Handeln', 'preisgünstig', 'umsetzungsfreudig', 'enthusiastisch im Erreichen von gemeinsamen Meilensteinen', 'Kundenkriterien erfüllend']"
