Lemma,Word_Type,Priority,Category,Primary_subcategory,Secondary_subcategory,Sg_all_split,Pl_all_split,Alt_split
Selbständigkeit,s,,unconscious_bias,agentic,competitive,"['Kompetenz', 'Initiative', 'Eigenverantwortlichkeit', 'Reife', 'unternehmerische Haltung']",[''],"['Kompetenz', 'Initiative', 'Eigenverantwortlichkeit', 'Reife', 'unternehmerische Haltung']"
Sicherstellung,s,,unconscious_bias,agentic,rough,"['Gewährleistung', 'Sorge', 'Erhaltung', 'Bewahrung', 'Einhaltung', 'Umsetzung']",[''],"['Gewährleistung', 'Sorge', 'Erhaltung', 'Bewahrung', 'Einhaltung', 'Umsetzung']"
Sieg,s,,unconscious_bias,agentic,competitive,"['erarbeiteter Meilenstein', 'verwirklichte Vision', 'gemeinsam erfüllte Aufgabe', 'zusammen umgesetztes Ziel']",[''],"['erarbeiteter Meilenstein', 'verwirklichte Vision', 'gemeinsam erfüllte Aufgabe', 'zusammen umgesetztes Ziel']"
Stärke,s,,unconscious_bias,agentic,rough,"['Stabilität', 'Erfahrung', 'Energie', 'Seelenstärke', 'Motivation', 'Resilienz']",[''],"['Stabilität', 'Erfahrung', 'Energie', 'Seelenstärke', 'Motivation', 'Resilienz']"
Unabhängigkeit,s,,unconscious_bias,agentic,competitive,"['Neutralität', 'Unvoreingenommenheit', 'Vielseitigkeit', 'Kompetenz', 'Einfallsreichtum im Erarbeiten von Zielen', 'Fokus auf eigene Aufgaben/Verantwortung', 'Bereitschaft, persönliche Verantwortung zu tragen']",[''],"['Neutralität', 'Unvoreingenommenheit', 'Vielseitigkeit', 'Kompetenz', 'Einfallsreichtum im Erarbeiten von Zielen', 'Fokus auf eigene Aufgaben/Verantwortung', 'Bereitschaft, persönliche Verantwortung zu tragen']"
Urteil,s,,unconscious_bias,agentic,hard-hearted,"['Meinung', 'Haltung', 'Ansicht', 'Auffassung', 'Erkenntnis', 'Schluss', 'Verständnis', 'Dafürhalten', 'Position', 'Standpunkt', 'Sichtweise', 'Theorie', 'Anschauung', 'Ergebnis']",[''],"['Meinung', 'Haltung', 'Ansicht', 'Auffassung', 'Erkenntnis', 'Schluss', 'Verständnis', 'Dafürhalten', 'Position', 'Standpunkt', 'Sichtweise', 'Theorie', 'Anschauung', 'Ergebnis']"
Wettbewerb,s,,unconscious_bias,agentic,competitive,"['Gelegenheit, Kompetenz einzusetzen', 'Angehen derselben Meilensteine im Team', 'Engagement im Erreichen der gleichen Ziele']",[''],"['Gelegenheit, Kompetenz einzusetzen', 'Angehen derselben Meilensteine im Team', 'Engagement im Erreichen der gleichen Ziele']"
Wettkampf,s,,unconscious_bias,agentic,competitive,"['Gelegenheit, Kompetenz einzusetzen', 'Hinarbeiten auf gemeinsame Meilensteine im Team', 'Engagement für gemeinsame Ziele', 'Einsatz für selbst gesteckte Ziele', 'Motivation durch Leute, die auf dieselben Ziele hinarbeiten']",[''],"['Gelegenheit, Kompetenz einzusetzen', 'Hinarbeiten auf gemeinsame Meilensteine im Team', 'Engagement für gemeinsame Ziele', 'Einsatz für selbst gesteckte Ziele', 'Motivation durch Leute, die auf dieselben Ziele hinarbeiten']"
Wettkämpfe,s,,unconscious_bias,agentic,competitive,"['Gelegenheiten, Kompetenz einzusetzen', 'kontinuierliches Hinarbeiten auf gemeinsame Meilensteine', 'Engagements für gemeinsame Ziele', 'Gelegenheiten zum Einsatz für gesteckte Ziele', 'Momente der Motivation durch Leute, die auf dieselben Ziele hinarbeiten']",[''],"['Gelegenheiten, Kompetenz einzusetzen', 'kontinuierliches Hinarbeiten auf gemeinsame Meilensteine', 'Engagements für gemeinsame Ziele', 'Gelegenheiten zum Einsatz für gesteckte Ziele', 'Momente der Motivation durch Leute, die auf dieselben Ziele hinarbeiten']"
ZIelstrebigkeit,s,26-01-2022,unconscious_bias,agentic,,"['Fokus auf Meilensteine', 'Motivation, auf Meilensteine hinzuarbeiten,', 'Umsetzungsfreude']",[''],"['Fokus auf Meilensteine', 'Motivation, auf Meilensteine hinzuarbeiten,', 'Umsetzungsfreude']"
Zähigkeit,s,,unconscious_bias,agentic,hard-hearted,"['Resilienz', 'Geduld', 'langer Atem']",[''],"['Resilienz', 'Geduld', 'langer Atem']"
angreifend,a,,unconscious_bias,agentic,competitive,"['hinterfragend', 'infragestellend', 'rückfragend', 'austestend', 'auf Glaubwürdigkeit (Intention, Gründe) prüfend']",[''],"['hinterfragend', 'infragestellend', 'rückfragend', 'austestend', 'auf Glaubwürdigkeit (Intention, Gründe) prüfend']"
angriffslustig,a,,unconscious_bias,agentic,competitive,"['freimütig', 'geradlinig', 'diskussionsfreudig', 'austestend', 'hinterfragend', 'verletzend', 'offen im Äußern von Besorgnis', 'interessiert, Standpunkte im Team auszuloten,', 'bereit, etablierte Meinungen (Methoden, ...) zu hinterfragen,']",[''],"['freimütig', 'geradlinig', 'diskussionsfreudig', 'austestend', 'hinterfragend', 'verletzend', 'offen im Äußern von Besorgnis', 'interessiert, Standpunkte im Team auszuloten,', 'bereit, etablierte Meinungen (Methoden, ...) zu hinterfragen,']"
anspruchsvoll,a,,unconscious_bias,agentic,rough,"['sorgfältig', 'präzise', 'genau', 'durch neue Problemstellungen motiviert', 'mit Blick für das Wesentliche', 'hinterfragt Zahlen (Fakten, Informationen), bevor sie ihnen vertraut']",[''],"['sorgfältig', 'präzise', 'genau', 'durch neue Problemstellungen motiviert', 'mit Blick für das Wesentliche', 'hinterfragt Zahlen (Fakten, Informationen), bevor sie ihnen vertraut']"
antreiben,v,,unconscious_bias,agentic,competitive,"['anleiten', 'anregen', 'motivieren', 'unterstützen', 'die Initiative (für ...) ergreifen', 'sich engagieren (für)']",[''],"['anleiten', 'anregen', 'motivieren', 'unterstützen', 'die Initiative (für ...) ergreifen', 'sich engagieren (für)']"
athletisch,a,,unconscious_bias,agentic,competitive,"['diszipliniert', 'geduldig', 'energiegeladen', 'fokussiert']",[''],"['diszipliniert', 'geduldig', 'energiegeladen', 'fokussiert']"
aufstiegsorientiert,a,,unconscious_bias,agentic,,"['eifrig', 'strebsam', 'fleißig', 'engagiert', 'entwicklungsmotiviert', 'unternehmerisch', 'bereit, größere Verantwortung zu übernehmen', 'interessiert an persönlichem Wachstum', 'engagiert im Hinarbeiten auf (gemeinsame, gesetzte) Ziele', 'mit neu gewonnenem Wissen und Erfahrung weiterkommen wollen']",[''],"['eifrig', 'strebsam', 'fleißig', 'engagiert', 'entwicklungsmotiviert', 'unternehmerisch', 'bereit, größere Verantwortung zu übernehmen', 'interessiert an persönlichem Wachstum', 'engagiert im Hinarbeiten auf (gemeinsame, gesetzte) Ziele', 'mit neu gewonnenem Wissen und Erfahrung weiterkommen wollen']"
aufstrebend,a,,unconscious_bias,agentic,rough,"['eifrig', 'strebsam', 'fleißig', 'engagiert', 'entwicklungsmotiviert', 'unternehmerisch', 'bereit, größere Verantwortung zu übernehmen', 'interessiert an persönlichem Wachstum', 'engagiert im Hinarbeiten auf (gemeinsame, gesetzte) Ziele', 'mit neu gewonnenem Wissen und Erfahrung weiterkommen wollen']",[''],"['eifrig', 'strebsam', 'fleißig', 'engagiert', 'entwicklungsmotiviert', 'unternehmerisch', 'bereit, größere Verantwortung zu übernehmen', 'interessiert an persönlichem Wachstum', 'engagiert im Hinarbeiten auf (gemeinsame, gesetzte) Ziele', 'mit neu gewonnenem Wissen und Erfahrung weiterkommen wollen']"
ausfechten,v,,unconscious_bias,agentic,competitive,"['argumentieren', 'diskutieren', 'austauschen', 'Perspektiven diskutieren', 'Gedanken austauschen', 'argumentieren und Erfahrung/Wissen einbringen']",[''],"['argumentieren', 'diskutieren', 'austauschen', 'Perspektiven diskutieren', 'Gedanken austauschen', 'argumentieren und Erfahrung/Wissen einbringen']"
ausfällig,a,,unconscious_bias,agentic,hard-hearted,"['argumentationsfreudig', 'diskussionsbereit', 'hinterfragen', 'ins Detail gehen', 'offen im Äußern von Besorgnis']",[''],"['argumentationsfreudig', 'diskussionsbereit', 'hinterfragen', 'ins Detail gehen', 'offen im Äußern von Besorgnis']"
ausschlaggebend,a,,unconscious_bias,agentic,hard-hearted,"['wesentlich', 'wichtig', 'das Zünglein an der Waage']",[''],"['wesentlich', 'wichtig', 'das Zünglein an der Waage']"
autonom,a,,unconscious_bias,agentic,competitive,"['verantwortungsbereit', 'Kompetenz einsetzend', 'auf Aufgaben fokussiert', 'bereit, Verantwortung zu tragen,']",[''],"['verantwortungsbereit', 'Kompetenz einsetzend', 'auf Aufgaben fokussiert', 'bereit, Verantwortung zu tragen,']"
autoritär,a,,unconscious_bias,agentic,rough,"['kompetent', 'erfahren', 'entscheidungsfreudig ', 'offen in Hinblick auf Erwartungen', 'bereit, Grenzen aufzuzeigen,']",[''],"['kompetent', 'erfahren', 'entscheidungsfreudig ', 'offen in Hinblick auf Erwartungen', 'bereit, Grenzen aufzuzeigen,']"
begierig,a,,unconscious_bias,agentic,competitive,"['neugierig', 'erwartungsvoll', 'gespannt', 'mitgerissen', 'leidenschaftlich', 'von persönlichen Motiven geleitet']",[''],"['neugierig', 'erwartungsvoll', 'gespannt', 'mitgerissen', 'leidenschaftlich', 'von persönlichen Motiven geleitet']"
beharren,v,,unconscious_bias,agentic,competitive,"['argumentieren', 'diskutieren', 'nicht lockerlassen', 'geduldig sein', 'sich nicht abbringen lassen', 'das Team auf ein gemeinsames Ziel einstimmen', 'auf Umsetzung hinwirken', 'Wissen und Erfahrung ins Gespräch einbringen', 'für (...) sprechen']",[''],"['argumentieren', 'diskutieren', 'nicht lockerlassen', 'geduldig sein', 'sich nicht abbringen lassen', 'das Team auf ein gemeinsames Ziel einstimmen', 'auf Umsetzung hinwirken', 'Wissen und Erfahrung ins Gespräch einbringen', 'für (...) sprechen']"
beharrlich,a,,unconscious_bias,agentic,competitive,"['geduldig', 'fokussiert', 'stetig', 'ruhig und besonnen', 'umsetzungsfreudig']",[''],"['geduldig', 'fokussiert', 'stetig', 'ruhig und besonnen', 'umsetzungsfreudig']"
behaupten,v,,unconscious_bias,agentic,hard-hearted,"['sagen', 'darlegen', 'feststellen', 'zur Diskussion stellen', 'eine Meinung vertreten', 'die eigene Perspektive kommunizieren', 'Erfahrungen teilen', 'auf die eigenen Kompetenzen vertrauen']",[''],"['sagen', 'darlegen', 'feststellen', 'zur Diskussion stellen', 'eine Meinung vertreten', 'die eigene Perspektive kommunizieren', 'Erfahrungen teilen', 'auf die eigenen Kompetenzen vertrauen']"
beherrschen,v,,unconscious_bias,agentic,hard-hearted,"['lenken', 'anleiten', 'steuern', 'im Griff haben', 'den Überblick wahren', 'Kompetenz zeigen', 'Themen aufzeigen', 'offene Punkte aufzeigen', 'gemeinsame Richtung aufzeigen', '(das Team) mitnehmen', 'Meilensteine kommunizieren', 'Erwartungen kommunizieren']",[''],"['lenken', 'anleiten', 'steuern', 'im Griff haben', 'den Überblick wahren', 'Kompetenz zeigen', 'Themen aufzeigen', 'offene Punkte aufzeigen', 'gemeinsame Richtung aufzeigen', '(das Team) mitnehmen', 'Meilensteine kommunizieren', 'Erwartungen kommunizieren']"
beherrschend,a,,unconscious_bias,agentic,hard-hearted,"['typisch', 'offenkundig', 'den Ausschlag gebend', 'relevant', 'bedeutsam']",[''],"['typisch', 'offenkundig', 'den Ausschlag gebend', 'relevant', 'bedeutsam']"
belastbar,a,,unconscious_bias,agentic,competitive,"['stabil', 'ruhig und besonnen', 'resilient', 'mit langem Atem', 'einen langen Atem haben', 'Energieressourcen haben', 'gute Bewältigungsmechanismen haben', 'mit seinen Ressourcen Haus halten', 'die eigenen Grenzen kennen']",[''],"['stabil', 'ruhig und besonnen', 'resilient', 'mit langem Atem', 'einen langen Atem haben', 'Energieressourcen haben', 'gute Bewältigungsmechanismen haben', 'mit seinen Ressourcen Haus halten', 'die eigenen Grenzen kennen']"
bestimmend,a,,unconscious_bias,agentic,hard-hearted,"['zentral', 'formend', 'gestaltend', 'lenkend']",[''],"['zentral', 'formend', 'gestaltend', 'lenkend']"
bestimmt,a,,unconscious_bias,agentic,hard-hearted,"['klar', 'greifbar', 'handfest', 'unmissverständlich']",[''],"['klar', 'greifbar', 'handfest', 'unmissverständlich']"
beweisen,v,,unconscious_bias,agentic,competitive,"['aufzeigen', 'nachvollziehbar darlegen']",[''],"['aufzeigen', 'nachvollziehbar darlegen']"
brüsten,v,,unconscious_bias,agentic,hard-hearted,"['sich identifizieren (mit)', 'sich freuen (über)', 'für getane Arbeit einstehen', 'den eigenen Beitrag vertreten', '(Ergebnisse) kommunizieren']",[''],"['sich identifizieren (mit)', 'sich freuen (über)', 'für getane Arbeit einstehen', 'den eigenen Beitrag vertreten', '(Ergebnisse) kommunizieren']"
couragiert,a,,unconscious_bias,agentic,competitive,"['experimentierfreudig', 'offen für neue Entdeckungen', 'bereit, Dinge auszuprobieren', 'mit Spaß an Neuem']",[''],"['experimentierfreudig', 'offen für neue Entdeckungen', 'bereit, Dinge auszuprobieren', 'mit Spaß an Neuem']"
deutlich,a,,unconscious_bias,agentic,rough,"['klar', 'offen', 'transparent']",[''],"['klar', 'offen', 'transparent']"
dienstleistungsorientiert,a,,unconscious_bias,agentic,cultural,"['serviceorientiert', 'einfühlsam im Umgang mit Kundschaft', 'stolz, Kundschaft zu deren Zufriedenheit zu betreuen', 'engagiert, Erwartungen der Kundschaft zu erfüllen']",[''],"['serviceorientiert', 'einfühlsam im Umgang mit Kundschaft', 'stolz, Kundschaft zu deren Zufriedenheit zu betreuen', 'engagiert, Erwartungen der Kundschaft zu erfüllen']"
direkt,a,,unconscious_bias,agentic,rough,"['klar', 'geradeheraus', 'offenherzig', 'geradlinig', 'aufrichtig', 'authentisch', 'ehrlich', 'argumentationsfreudig', 'diskussionsbereit', 'von Mensch zu Mensch', 'nicht hinterm Berg halten', 'das Herz auf der Zunge tragen', 'offene Worte schätzen', 'offen im Äußern von Besorgnis']",[''],"['klar', 'geradeheraus', 'offenherzig', 'geradlinig', 'aufrichtig', 'authentisch', 'ehrlich', 'argumentationsfreudig', 'diskussionsbereit', 'von Mensch zu Mensch', 'nicht hinterm Berg halten', 'das Herz auf der Zunge tragen', 'offene Worte schätzen', 'offen im Äußern von Besorgnis']"
draufgängerisch,a,,unconscious_bias,agentic,hard-hearted,"['experimentierfreudig', 'auf die eigenen Kompetenzen vertrauend', 'interessiert an Neuem', 'bereit, Ideen auszuprobieren']",[''],"['experimentierfreudig', 'auf die eigenen Kompetenzen vertrauend', 'interessiert an Neuem', 'bereit, Ideen auszuprobieren']"
durchsetzen,v,,unconscious_bias,agentic,hard-hearted,"['erwirken', 'umsetzen', 'zum Abschluss bringen']",[''],"['erwirken', 'umsetzen', 'zum Abschluss bringen']"
durchsetzungsfähig,a,,unconscious_bias,agentic,hard-hearted,"['umsetzungsfreudig', 'fokussiert', 'effizient', 'regsam', 'organisiert und energiegeladen', 'voller Freude am Vertreten eines Standpunkts', 'fähig, wirkungsvoll zu kommunizieren', 'Stakeholder mitreißend']",[''],"['umsetzungsfreudig', 'fokussiert', 'effizient', 'regsam', 'organisiert und energiegeladen', 'voller Freude am Vertreten eines Standpunkts', 'fähig, wirkungsvoll zu kommunizieren', 'Stakeholder mitreißend']"
durchsetzungsstark,a,,unconscious_bias,agentic,hard-hearted,"['umsetzungsfreudig', 'fokussiert', 'effizient', 'regsam', 'organisiert und energiegeladen', 'voller Freude am Vertreten eines Standpunkts', 'fähig, wirkungsvoll zu kommunizieren', 'Stakeholder mitreißend']",[''],"['umsetzungsfreudig', 'fokussiert', 'effizient', 'regsam', 'organisiert und energiegeladen', 'voller Freude am Vertreten eines Standpunkts', 'fähig, wirkungsvoll zu kommunizieren', 'Stakeholder mitreißend']"
ehrgeizig,a,,unconscious_bias,agentic,competitive,"['eifrig', 'strebsam', 'fleißig', 'engagiert', 'entwicklungsmotiviert', 'unternehmerisch', 'bereit, größere Verantwortung zu übernehmen', 'interessiert an persönlichem Wachstum', 'engagiert im Hinarbeiten auf (gemeinsame, gesetzte) Ziele', 'mit neu gewonnenem Wissen und Erfahrung weiterkommen wollen']",[''],"['eifrig', 'strebsam', 'fleißig', 'engagiert', 'entwicklungsmotiviert', 'unternehmerisch', 'bereit, größere Verantwortung zu übernehmen', 'interessiert an persönlichem Wachstum', 'engagiert im Hinarbeiten auf (gemeinsame, gesetzte) Ziele', 'mit neu gewonnenem Wissen und Erfahrung weiterkommen wollen']"
eigensinnig,a,,unconscious_bias,agentic,cultural,"['gestaltungsmotiviert', 'offen', 'geradlinig', 'bereit, verschiedene Perspektiven auszuloten', 'der eigenen Bedürfnisse bewusst', 'bereit, Bedenken zu teilen', 'wissen, was man möchte', 'fähig, die eigenen Bedürfnisse zu erkennen', 'bereit, in der Diskussion verschiedene Standpunkte sichtbar zu machen', 'auf die eigene Kompetenz vertrauend', 'bereit, (Systeme, Arbeitsabläufe, Strukturen, Prozesse) zu formen', 'beherzt für (eine Perspektive, Standpunkte) argumentieren']",[''],"['gestaltungsmotiviert', 'offen', 'geradlinig', 'bereit, verschiedene Perspektiven auszuloten', 'der eigenen Bedürfnisse bewusst', 'bereit, Bedenken zu teilen', 'wissen, was man möchte', 'fähig, die eigenen Bedürfnisse zu erkennen', 'bereit, in der Diskussion verschiedene Standpunkte sichtbar zu machen', 'auf die eigene Kompetenz vertrauend', 'bereit, (Systeme, Arbeitsabläufe, Strukturen, Prozesse) zu formen', 'beherzt für (eine Perspektive, Standpunkte) argumentieren']"
eigenständig,a,,unconscious_bias,agentic,cultural,"['verantwortlich', 'Kompetenz einsetzend', 'auf Aufgaben fokussiert', 'auf die persönliche Kompetenz vertrauend']",[''],"['verantwortlich', 'Kompetenz einsetzend', 'auf Aufgaben fokussiert', 'auf die persönliche Kompetenz vertrauend']"
eigenverantwortlich,a,,unconscious_bias,agentic,cultural,"['verantwortungsfreudig', 'unternehmerisch denkend und handelnd', 'sich Ziele setzend']",[''],"['verantwortungsfreudig', 'unternehmerisch denkend und handelnd', 'sich Ziele setzend']"
eigenwillig,a,,unconscious_bias,agentic,cultural,"['gestaltungsmotiviert', 'offen', 'geradlinig', 'wissen, was man möchte', 'fähig, die eigenen Bedürfnisse zu erkennen', 'bereit, in der Diskussion verschiedene Standpunkte sichtbar zu machen', 'auf die eigene Kompetenz vertrauend', 'bereit, (Systeme, Arbeitsabläufe, Strukturen, Prozesse) zu formen', 'beherzt für (eine Perspektive, Standpunkte) argumentieren', 'bereit, verschiedene Perspektiven auszuloten', 'der eigenen Bedürfnisse bewusst', 'bereit, Bedenken zu teilen']",[''],"['gestaltungsmotiviert', 'offen', 'geradlinig', 'wissen, was man möchte', 'fähig, die eigenen Bedürfnisse zu erkennen', 'bereit, in der Diskussion verschiedene Standpunkte sichtbar zu machen', 'auf die eigene Kompetenz vertrauend', 'bereit, (Systeme, Arbeitsabläufe, Strukturen, Prozesse) zu formen', 'beherzt für (eine Perspektive, Standpunkte) argumentieren', 'bereit, verschiedene Perspektiven auszuloten', 'der eigenen Bedürfnisse bewusst', 'bereit, Bedenken zu teilen']"
energisch,a,,unconscious_bias,agentic,rough,"['tatkräftig', 'zupackend', 'schwungvoll', 'engagiert', 'motiviert']",[''],"['tatkräftig', 'zupackend', 'schwungvoll', 'engagiert', 'motiviert']"
entscheidend,a,,unconscious_bias,agentic,rough,"['verantwortlich', 'pragmatisch', 'maßgeblich', 'wesentlich', 'nötig', 'relevant']",[''],"['verantwortlich', 'pragmatisch', 'maßgeblich', 'wesentlich', 'nötig', 'relevant']"
entscheidungsfreudig,a,,unconscious_bias,agentic,rough,"['flexibel', 'pragmatisch', 'unkompliziert', 'beweglich']",[''],"['flexibel', 'pragmatisch', 'unkompliziert', 'beweglich']"
entschieden,a,,unconscious_bias,agentic,rough,"['klipp und klar', 'eindeutig in der Kommunikation', 'explizit', 'offen']",[''],"['klipp und klar', 'eindeutig in der Kommunikation', 'explizit', 'offen']"
entschlossen,a,,unconscious_bias,agentic,rough,"['konsequent', 'herzhaft', 'zupackend', 'pragmatisch']",[''],"['konsequent', 'herzhaft', 'zupackend', 'pragmatisch']"
entschlussfreudig,a,,unconscious_bias,agentic,rough,"['pragmatisch', 'unkompliziert', 'beweglich']",[''],"['pragmatisch', 'unkompliziert', 'beweglich']"
erfolgshungrig,a,,unconscious_bias,agentic,competitive,"['engagiert', 'begeistert', 'umsetzungsfreudig', 'motiviert, eine Vision zu realisieren', 'engagiert sich beim Erarbeiten von Meilensteinen']",[''],"['engagiert', 'begeistert', 'umsetzungsfreudig', 'motiviert, eine Vision zu realisieren', 'engagiert sich beim Erarbeiten von Meilensteinen']"
erobern,v,,unconscious_bias,agentic,competitive,"['entdecken', 'neugierig sein', 'mehr wissen wollen', 'erfahren wollen', 'Verantwortung (für ...) übernehmen']",[''],"['entdecken', 'neugierig sein', 'mehr wissen wollen', 'erfahren wollen', 'Verantwortung (für ...) übernehmen']"
erprobt,a,,unconscious_bias,agentic,corporate,"['kompetent', 'mit Know-how', 'mit Erfahrung']",[''],"['kompetent', 'mit Know-how', 'mit Erfahrung']"
erwarten,v,,unconscious_bias,agentic,competitive,"['begrüßen', 'wünschen']",[''],"['begrüßen', 'wünschen']"
fachmännisch,a,,unconscious_bias,agentic,corporate,"['fachkundig', 'geübt', 'kenntnisreich', 'kompetent', 'sachkundig', 'kundig', 'mit Qualität']",[''],"['fachkundig', 'geübt', 'kenntnisreich', 'kompetent', 'sachkundig', 'kundig', 'mit Qualität']"
fechten,v,,unconscious_bias,agentic,competitive,"['diskutieren', 'sich austauschen', 'mit Erfahrung/Wissen argumentieren', 'über verschiedene Perspektiven diskutieren', 'Gedanken austauschen']",[''],"['diskutieren', 'sich austauschen', 'mit Erfahrung/Wissen argumentieren', 'über verschiedene Perspektiven diskutieren', 'Gedanken austauschen']"
feindselig,a,,unconscious_bias,agentic,competitive,"['offenherzig', 'hinterfragend', 'engagiert', 'für (...) engagiert', 'bereit, für (...) zu argumentieren', 'für (...) begeistert eintreten', 'das Gespräch suchend']",[''],"['offenherzig', 'hinterfragend', 'engagiert', 'für (...) engagiert', 'bereit, für (...) zu argumentieren', 'für (...) begeistert eintreten', 'das Gespräch suchend']"
freimütig,a,,unconscious_bias,agentic,rough,"['offenherzig', 'hinterfragend', 'engagiert', 'geradlinig', ' ', 'zur eigenen Meinung stehend', 'seine Arbeit vertretend']",[' '],"[' ', 'offenherzig', 'hinterfragend', 'engagiert', 'geradlinig', 'zur eigenen Meinung stehend', 'seine Arbeit vertretend']"
furchtlos,a,,unconscious_bias,agentic,hard-hearted,"['beherzt', 'optimistisch', 'zielbewusst', 'geschickt', 'schwungvoll', 'umsichtig', 'munter', 'einsatzbereit', 'unverzagt', 'in komplexen Situation handlungsfähig']",[''],"['beherzt', 'optimistisch', 'zielbewusst', 'geschickt', 'schwungvoll', 'umsichtig', 'munter', 'einsatzbereit', 'unverzagt', 'in komplexen Situation handlungsfähig']"
führen,v,,unconscious_bias,agentic,hard-hearted,"['unterstützen', 'coachen', 'mitnehmen', 'lenken', 'beratend begleiten', 'anleiten', 'Orientierung bieten', 'Vision/Erwartungen kommunizieren']",[''],"['unterstützen', 'coachen', 'mitnehmen', 'lenken', 'beratend begleiten', 'anleiten', 'Orientierung bieten', 'Vision/Erwartungen kommunizieren']"
geldgierig,a,,unconscious_bias,agentic,hard-hearted,"['erwerbsorientiert', 'besitzorientiert', 'preisbewusst', 'ökonomisch vorsichtig', 'wirtschaftlich denkend', 'unternehmerisch denkend', 'sparsam', 'budgetbewusst']",[''],"['erwerbsorientiert', 'besitzorientiert', 'preisbewusst', 'ökonomisch vorsichtig', 'wirtschaftlich denkend', 'unternehmerisch denkend', 'sparsam', 'budgetbewusst']"
getrieben,a,,unconscious_bias,agentic,competitive,"['spontan', 'lebendig', 'beweglich', 'lebhaft', 'begeistert', 'rege', 'schwungvoll', 'emphatisch', 'engagiert', 'begeisterungsfähig', 'fokussiert', 'durch Meilensteine motiviert', '']",[''],"['spontan', 'lebendig', 'beweglich', 'lebhaft', 'begeistert', 'rege', 'schwungvoll', 'emphatisch', 'engagiert', 'begeisterungsfähig', 'fokussiert', 'durch Meilensteine motiviert', '']"
gewagt,a,,unconscious_bias,agentic,hard-hearted,"['Chancen im Blick haben', 'offen für Experimente', 'bereit, Neues auszuprobieren', 'auf ihre Kompetenzen vertrauend']",[''],"['Chancen im Blick haben', 'offen für Experimente', 'bereit, Neues auszuprobieren', 'auf ihre Kompetenzen vertrauend']"
gewinnen,v,,unconscious_bias,agentic,competitive,"['erarbeiten', 'erwerben', 'dazulernen', 'interessieren', 'insistieren', 'aus Erfahrung Neues schaffen', 'für (...) einnehmen', 'für (...) begeistern', 'nicht locker lassen', 'sich nicht abbringen lassen']",[''],"['erarbeiten', 'erwerben', 'dazulernen', 'interessieren', 'insistieren', 'aus Erfahrung Neues schaffen', 'für (...) einnehmen', 'für (...) begeistern', 'nicht locker lassen', 'sich nicht abbringen lassen']"
gierig,a,,unconscious_bias,agentic,competitive,"['strebsam', 'fleißig', 'eifrig', 'fokussiert', 'erwerbsorientiert', 'unternehmerisch denkend', 'Meilensteine erreichen wollend', 'an (...) interessiert']",[''],"['strebsam', 'fleißig', 'eifrig', 'fokussiert', 'erwerbsorientiert', 'unternehmerisch denkend', 'Meilensteine erreichen wollend', 'an (...) interessiert']"
grundsätzlich,a,,unconscious_bias,agentic,rough,"['in der Regel', 'dokumentiert', 'amtlich', 'oft', 'charakteristisch', 'grundlegend', 'symptomatisch', 'typisch', 'typischerweise']",[''],"['in der Regel', 'dokumentiert', 'amtlich', 'oft', 'charakteristisch', 'grundlegend', 'symptomatisch', 'typisch', 'typischerweise']"
hart,a,,unconscious_bias,agentic,hard-hearted,"['resilient', 'geradlinig', 'komplex', 'fokussiert', 'unbeirrt', 'bereit, Ziele zu anzugehen', 'sich vom Weg nicht abbringen lassend', 'den Weg vorlebend']",[''],"['resilient', 'geradlinig', 'komplex', 'fokussiert', 'unbeirrt', 'bereit, Ziele zu anzugehen', 'sich vom Weg nicht abbringen lassend', 'den Weg vorlebend']"
hartgesotten,a,,unconscious_bias,agentic,hard-hearted,"['resilient', 'erfahren', 'geübt', 'gelassen', 'sich vom Weg nicht abbringen lassend', 'den Weg vorlebend', 'bereit, Ziele zu anzugehen', 'geübt darin, sich auf das Wesentliche zu konzentrieren']",[''],"['resilient', 'erfahren', 'geübt', 'gelassen', 'sich vom Weg nicht abbringen lassend', 'den Weg vorlebend', 'bereit, Ziele zu anzugehen', 'geübt darin, sich auf das Wesentliche zu konzentrieren']"
hartnäckig,a,,unconscious_bias,agentic,competitive,"['geduldig', 'resilient', 'fokussiert', 'beständig', 'stetig', 'einen langen Atem haben', 'langfristig denkend']",[''],"['geduldig', 'resilient', 'fokussiert', 'beständig', 'stetig', 'einen langen Atem haben', 'langfristig denkend']"
herausfordernd,a,,unconscious_bias,agentic,competitive,"['diskussionsbereit', 'hinterfragend', 'Spaß an Neuem habend', 'offen für neue Entdeckungen (Problemstellungen, Unwägbarkeiten, ...)', 'das Gespräch suchend']",[''],"['diskussionsbereit', 'hinterfragend', 'Spaß an Neuem habend', 'offen für neue Entdeckungen (Problemstellungen, Unwägbarkeiten, ...)', 'das Gespräch suchend']"
herausgefordert,a,,unconscious_bias,agentic,competitive,"['gefragt', 'aufgerufen', 'gebeten', 'angeregt']",[''],"['gefragt', 'aufgerufen', 'gebeten', 'angeregt']"
