Lemma,subcategory,is active,Wordtype,Forms,Alternative_Singular,Alternative_Plural,Alternative_Singular_split,Alternative_Plural_split
Rangierbegleiter,,,,,Rangierperson | Rangierbegleitung | Rangierbegleiterin/Rangierbegleiter | Rangierbegleiter:in,Rangierbegleitende | Rangierbegleitung | Rangierbegleiter:in | | Rangierbegleiterinnen und Rangierbegleiter,"['Rangierperson', 'Rangierbegleitung', 'Rangierbegleiterin/Rangierbegleiter', 'Rangierbegleiter:in']","['Rangierbegleitende', 'Rangierbegleitung', 'Rangierbegleiter:in', '| Rangierbegleiterinnen und Rangierbegleiter']"
Mitarbeiter,,,,,Mitarbeiterin/Mitarbeiter | Mitarbeiter:in ,Personal | Mitarbeiterschaft | Belegschaft | Kollegschaft | Mitarbeitende | Mitarbeiter:innen | Mitarbeiterinnen und Mitarbeiter,"['Mitarbeiterin/Mitarbeiter', 'Mitarbeiter:in ']","['Personal', 'Mitarbeiterschaft', 'Belegschaft', 'Kollegschaft', 'Mitarbeitende', 'Mitarbeiter:innen', 'Mitarbeiterinnen und Mitarbeiter']"
Fachmann,,,,(mann | männer),Fachperson | Fachfrau/Fachmann | Fachfrau:mann,Fachpersonal | Fachfrauen:männer | Fachfrauen und Fachmänner,"['Fachperson', 'Fachfrau/Fachmann', 'Fachfrau:mann']","['Fachpersonal', 'Fachfrauen:männer', 'Fachfrauen und Fachmänner']"
Leiter,,,,,Leiterin/Leiter | Leiter:in,Leitung | Leiter:innen | Leiterinnen und Leiter,"['Leiterin/Leiter', 'Leiter:in']","['Leitung', 'Leiter:innen', 'Leiterinnen und Leiter']"
Fahrzeugtechniker,,,,,Fahrzeugtechnikerin/Fahrzeugtechniker | Fahrzeugtechniker:in,Fahrzeugtechniker:innen | Fahrzeugtechnikerinnen und Fahrzeugtechniker,"['Fahrzeugtechnikerin/Fahrzeugtechniker', 'Fahrzeugtechniker:in']","['Fahrzeugtechniker:innen', 'Fahrzeugtechnikerinnen und Fahrzeugtechniker']"
Nutzer,,,,,Nutzerin/Nutzer | Nutzer:in,Nutzende | Nutzer:innen | Nutzerinnen und Nutzer,"['Nutzerin/Nutzer', 'Nutzer:in']","['Nutzende', 'Nutzer:innen', 'Nutzerinnen und Nutzer']"
Besucher,,,,,Besucherin/Besucher | Besucher:in,Gäste | Besucher:innen | Besucherinnen und Besucher,"['Besucherin/Besucher', 'Besucher:in']","['Gäste', 'Besucher:innen', 'Besucherinnen und Besucher']"
Vertreter,,,,,Vertreterin/Vertreter | Vertreter:in,Vertretende | Vertretung | Vertreter:innen | Verteterinnen und Vertreter,"['Vertreterin/Vertreter', 'Vertreter:in']","['Vertretende', 'Vertretung', 'Vertreter:innen', 'Verteterinnen und Vertreter']"
Servicetechniker,,,,,Service | Servicetechnikerin/Servicetechniker | Servicetechniker:in,Service | Servicepersonal | Servicetechniker:innen | Servicetechnikerinnen und Servicetechniker,"['Service', 'Servicetechnikerin/Servicetechniker', 'Servicetechniker:in']","['Service', 'Servicepersonal', 'Servicetechniker:innen', 'Servicetechnikerinnen und Servicetechniker']"
Zuhörer,,,,,zuhörende Person | Zuhörerin/Zuhörer | Zuhörer:in,"Publikum | Zuhörende | Personen, die zuhören | Zuhörer:innen | Zuhörerinnen und Zuhörer","['zuhörende Person', 'Zuhörerin/Zuhörer', 'Zuhörer:in']","['Publikum', 'Zuhörende', 'Personen, die zuhören', 'Zuhörer:innen', 'Zuhörerinnen und Zuhörer']"
Bewerber,,,,,"Person, die sich bewerbt | Bewerber:in","Personen, die sich bewerben | Bewerbende | Bewerber:innen | Bewerberinnen und Bewerber","['Person, die sich bewerbt', 'Bewerber:in']","['Personen, die sich bewerben', 'Bewerbende', 'Bewerber:innen', 'Bewerberinnen und Bewerber']"
Antragssteller,,,,,"Person, die einen Antrag stellt | Antragssteller:in ","Person, die einen Antrag stellen | Antragsstellende |  Beantragende | Antragssteller:innen | Antragsstellerinnen und Antragssteller","['Person, die einen Antrag stellt', 'Antragssteller:in ']","['Person, die einen Antrag stellen', 'Antragsstellende', ' Beantragende', 'Antragssteller:innen', 'Antragsstellerinnen und Antragssteller']"
Jeder,,,,,Jede/Jeder | Jede:r,Alle ,"['Jede/Jeder', 'Jede:r']",['Alle ']
Teilnehmerliste,gendered_roles_image,,,,Teilnahmeliste,,['Teilnahmeliste'],['']
Mitarbeiterdialog,gendered_roles_image,,,,Jahresaustausch | Jahresdialog,,"['Jahresaustausch', 'Jahresdialog']",['']
Benutzeranleitung,gendered_roles_image,,,,Bedienungsanleitung,,['Bedienungsanleitung'],['']
Benutzerhandbuch,gendered_roles_image,,,,Bedienungsanleitung,,['Bedienungsanleitung'],['']
Vorgesetzter,gendered_roles_hierachy,,5,,Leitungsperson | Führungsperson,Leitungspersonen | Führungspersonen,"['Leitungsperson', 'Führungsperson']","['Leitungspersonen', 'Führungspersonen']"
