Lemma,Word_Type,Priority,Category,Primary_subcategory,Secondary_subcategory,Sg_all_clean,Pl_all_clean
Bauwerktrenner,s,,gendered,titles,,"['Bauwerktrennung', 'Bauwerktrenner~in~/~Bauwerktrenner']","['Bauwerktrenner~innen~ und ~Bauwerktrenner', 'Bauwerktrennung']"
Berater,s,,gendered,titles,,"['Beratung', 'Berater~in~/~Berater', 'Beratende']","['Beratende', 'Berater~innen~ und ~Berater', 'Beratung']"
Beschäftigter,s,,gendered,titles,,"['Beschäftigung', 'Beschäftige~/~Beschäftigte~r', 'Personal', 'Belegschaft', 'Beschäftigte', 'Person, die (im Unternehmen) beschäftigt ist']","['Beschäftigte', 'Personal', 'Belegschaft', 'Beschäftigung', 'Personen/Leute im Unternehmen']"
Besucher,s,,gendered,titles,,"['Besuch', 'Besucher~in~/~Besucher', 'Gäste', 'Besuchende']","['Besuchende', 'Besucher~innen~ und ~Besucher', 'Gäste', 'Besuch']"
Betreuer,s,,gendered,titles,,"['Betreuung', 'Betreuer~in~/~Betreuer', 'Betreuungspersonal', 'Betreuungsteam', 'Betreuende']","['Betreuende', 'Betreuer~innen~ und ~Betreuer', 'Betreuungspersonal', 'Betreuungsteam', 'Betreuung']"
Betriebsarzt,s,,gendered,titles,,"['betriebsärztliche Untersuchung', 'Betriebsärzt~in~/~Betriebsarzt']","['Betriebsärzt~innen~ und ~Betriebsärzte', 'betriebsärztliche Untersuchung']"
Bewerber,s,,gendered,titles,,"['Bewerbung', 'Bewerber~in~/~Bewerber', 'Bewerbende', 'Person, die sich bewirbt']","['Bewerbende', 'Bewerber~innen~ und ~Bewerber', 'Bewerbung', 'Personen, die sich bewerben']"
Boden-Parkettleger,s,,gendered,titles,,"['Parkettlegung', 'Parkettverlegung', 'Boden-Parkettleger~in~/~Boden-Parkettleger']","['Boden-Parkettleger~innen~ und ~Boden-Parkettleger', 'Parkettlegung', 'Parkettverlegung']"
Bootfachwart,s,,gendered,titles,,"['Bootfachwartung', 'Bootfachwart~in~/~Bootfachwart']","['Bootfachwart~innen~ und ~Bootfachwarte', 'Bootfachwartung']"
Botschafter,s,,gendered,titles,,"['Botschaft', 'Vertretung', 'Botschafter~in~/~Botschafter', 'vermittelnde Person', 'vertretende Person']","['Botschafter~innen~ und ~Botschafter', 'Botschaft', 'Vertretung', 'vermittelnde Personen', 'vertretende Personen']"
Brückenbauer,s,,gendered,titles,,"['Brückenbau', 'Brückenbauer~in~/~Brückenbauer', 'Person, die Brücken (zwischen ...) baut']","['Brückenbauer~innen~ und ~Brückenbauer', 'Brückenbau', 'Personen, die Brücken (zwischen ...) bauen']"
Buchhändler,s,,gendered,titles,,"['Buchhandel', 'Buchhandlung', 'Buchhändler~in~/~Buchhändler']","['Buchhändler~innen~ und ~Buchhändler', 'Buchhandel', 'Buchhandlung']"
Carrossier,s,,gendered,titles,,"['Carrosserie', 'Autowerkstatt', 'Carrossier~in~/~Carrossier']","['Carrossier~innen~ und ~Carrossiers', 'Carrosserie', 'Autowerkstatt']"
Coiffeur,s,,gendered,titles,,"['Coiffure', 'Coiffeur~in~/~Coiffeur', 'frisierende Person', 'Person, die (...) frisiert hat']","['Coiffeur~innen~ und ~Coiffeure', 'Coiffure', 'frisierende Personen']"
Confiseur,s,,gendered,titles,,"['Confiserie', 'Confiseur~in~/~Confiseur']","['Confiseur~innen~ und ~Confiseure', 'Confiserie']"
Consultant,s,,gendered,titles,,"['Consulting', 'Beratung', 'Konsultant~in~/~Konsultant', 'von Berufs wegen beratende Person']","['Konsultant~innen~ und ~Konsultanten', 'Consulting', 'Beratung', '(von Berufs wegen) beratende Personen']"
Controller,s,,gendered,titles,americanism,"['Kostenkontrollkraft', 'Finanzfachkraft', 'Controlling-Fachkraft', 'Controlling', 'Controller~in~/~Controller', 'Kostenkontrollkräfte', 'Finanzfachkräfte']","['Kostenkontrollkräfte', 'Finanzfachkräfte', 'Controller~innen~ und ~Controller', 'Controlling']"
Customer supporter,s,,gendered,titles,americanism,"['Kundenbetreuung', 'Kundenbetreuer~in~/~Kundenbetreuer', 'Kundenbetreuende', 'Person, die Kundschaft betreut']","['Kundenbetreuende', 'Kundenbetreuer~innen~ und ~Kundenbetreuer', 'Kundenbetreuung', 'Personen, die Kundschaft betreuen']"
Dachdecker,s,,gendered,titles,,"['Dachdeckerei', 'Dachdecker~in~/~Dachdecker', 'Dachdeckende']","['Dachdeckende', 'Dachdecker~innen~ und ~Dachdecker', 'Dachdeckerei']"
Dekorationsnäher,s,,gendered,titles,,"['Dekorationsschneiderei', 'Dekorationsnäher~in~/~Dekorationsnäher']","['Dekorationsnäher~innen~ und ~Dekorationsnäher', 'Dekorationsschneiderei']"
Designer,s,,gendered,titles,,"['Design', 'Designer~in~/~Designer', 'Designteam', 'Designschaffende']","['Designschaffende', 'Designer~innen~ und ~Designer', 'Designteam', 'Design']"
